Field,Description,Population,Purchasing Power,Sociodemographics,Retail Spending,Retail Turnover,Retail Centrality,Consumer Spending,MB-International Consumer Styles,Households by Income Quintiles,Marital Status
CSP12_CI,"Consumer Spending - Medical products, appliances and equipment: index (country eq. 100)",,,,,,,YES,,,
CSP13_MIO,"Consumer Spending - Consumer electronics, photographic and IT equipment: million Euro",,,,,,,YES,,,
CSP13_PRM,"Consumer Spending - Consumer electronics, photographic and IT equipment: per mill of country",,,,,,,YES,,,
CSP13_EURO,"Consumer Spending - Consumer electronics, photographic and IT equipment: Euro per capita",,,,,,,YES,,,
CSP13_CI,"Consumer Spending - Consumer electronics, photographic and IT equipment: index (country eq. 100)",,,,,,,YES,,,
CSP14_MIO,Consumer Spending - Durables for recreation and culture: million Euro,,,,,,,YES,,,
CSP14_PRM,Consumer Spending - Durables for recreation and culture: per mill of country,,,,,,,YES,,,
CSP14_EURO,Consumer Spending - Durables for recreation and culture: Euro per capita,,,,,,,YES,,,
CSP14_CI,Consumer Spending - Durables for recreation and culture: index (country eq. 100),,,,,,,YES,,,
CSP15_MIO,"Consumer Spending - Toys and games, hobby, sport, garden, pets: million Euro",,,,,,,YES,,,
CSP15_PRM,"Consumer Spending - Toys and games, hobby, sport, garden, pets: per mill of country",,,,,,,YES,,,
CSP15_EURO,"Consumer Spending - Toys and games, hobby, sport, garden, pets: Euro per capita",,,,,,,YES,,,
CSP15_CI,"Consumer Spending - Toys and games, hobby, sport, garden, pets: index (country eq. 100)",,,,,,,YES,,,
CSP16_MIO,Consumer Spending - Recreational and cultural services: million Euro,,,,,,,YES,,,
CSP16_PRM,Consumer Spending - Recreational and cultural services: per mill of country,,,,,,,YES,,,
CSP16_EURO,Consumer Spending - Recreational and cultural services: Euro per capita,,,,,,,YES,,,
CSP16_CI,Consumer Spending - Recreational and cultural services: index (country eq. 100),,,,,,,YES,,,
CSP17_MIO,"Consumer Spending - Newspapers, books and stationery: million Euro",,,,,,,YES,,,
CSP17_PRM,"Consumer Spending - Newspapers, books and stationery: per mill of country",,,,,,,YES,,,
CSP17_EURO,"Consumer Spending - Newspapers, books and stationery: Euro per capita",,,,,,,YES,,,
CSP17_CI,"Consumer Spending - Newspapers, books and stationery: index (country eq. 100)",,,,,,,YES,,,
CSP18_MIO,Consumer Spending - Catering services: million Euro,,,,,,,YES,,,
CSP18_PRM,Consumer Spending - Catering services: per mill of country,,,,,,,YES,,,
CSP18_EURO,Consumer Spending - Catering services: Euro per capita,,,,,,,YES,,,
CSP18_CI,Consumer Spending - Catering services: index (country eq. 100),,,,,,,YES,,,
CSP19_MIO,Consumer Spending - Personal care: million Euro,,,,,,,YES,,,
CSP19_PRM,Consumer Spending - Personal care: per mill of country,,,,,,,YES,,,
CSP19_EURO,Consumer Spending - Personal care: Euro per capita,,,,,,,YES,,,
CSP19_CI,Consumer Spending - Personal care: index (country eq. 100),,,,,,,YES,,,
CSP20_MIO,"Consumer Spending - Jewellery, clocks, watches and other personal effects: million Euro",,,,,,,YES,,,
CSP20_PRM,"Consumer Spending - Jewellery, clocks, watches and other personal effects: per mill of country",,,,,,,YES,,,
CSP20_EURO,"Consumer Spending - Jewellery, clocks, watches and other personal effects: Euro per capita",,,,,,,YES,,,
CSP20_CI,"Consumer Spending - Jewellery, clocks, watches and other personal effects: index (country eq. 100)",,,,,,,YES,,,
AGE_T15PL,"Population: 15 years and above, total",,,,,,,,YES,,
TYP_A_T,Population by Consumer Style Type A - High earning urban professionals: total,,,,,,,,YES,,
TYP_A_PER,Population by Consumer Style Type A - High earning urban professionals: percentage,,,,,,,,YES,,
TYP_A_CI,Population by Consumer Style Type A - High earning urban professionals: index (country eq.100),,,,,,,,YES,,
TYP_B_T,Population by Consumer Style Type B - Comfortably off empty nesters: total,,,,,,,,YES,,
TYP_B_PER,Population by Consumer Style Type B - Comfortably off empty nesters: percentage,,,,,,,,YES,,
TYP_B_CI,Population by Consumer Style Type B - Comfortably off empty nesters: index (country eq.100),,,,,,,,YES,,
TYP_C_T,Population by Consumer Style Type C - Modern and pragmatic over-50s: total,,,,,,,,YES,,
TYP_C_PER,Population by Consumer Style Type C - Modern and pragmatic over-50s: percentage,,,,,,,,YES,,
TYP_C_CI,Population by Consumer Style Type C - Modern and pragmatic over-50s: index (country eq.100),,,,,,,,YES,,
TYP_D_T,Population by Consumer Style Type D - Well informed modern consumers: total,,,,,,,,YES,,
TYP_D_PER,Population by Consumer Style Type D - Well informed modern consumers: percentage,,,,,,,,YES,,
TYP_D_CI,Population by Consumer Style Type D - Well informed modern consumers: index (country eq.100),,,,,,,,YES,,
TYP_E_T,Population by Consumer Style Type E - Affluent highly educated urban families: total,,,,,,,,YES,,
TYP_E_PER,Population by Consumer Style Type E - Affluent highly educated urban families: percentage,,,,,,,,YES,,
TYP_E_CI,Population by Consumer Style Type E - Affluent highly educated urban families: index (country eq.100),,,,,,,,YES,,
TYP_F_T,Population by Consumer Style Type F - Security-oriented seniors: total,,,,,,,,YES,,
TYP_F_PER,Population by Consumer Style Type F - Security-oriented seniors: percentage,,,,,,,,YES,,
TYP_F_CI,Population by Consumer Style Type F - Security-oriented seniors: index (country eq.100),,,,,,,,YES,,
TYP_G_T,Population by Consumer Style Type G - Orientation seeking lower and middle class consumers: total,,,,,,,,YES,,
TYP_G_PER,Population by Consumer Style Type G - Orientation seeking lower and middle class consumers: percentage,,,,,,,,YES,,
TYP_G_CI,Population by Consumer Style Type G - Orientation seeking lower and middle class consumers: index (country eq.100),,,,,,,,YES,,
TYP_H_T,Population by Consumer Style Type H - Younger lower and middle class consumers: total,,,,,,,,YES,,
TYP_H_PER,Population by Consumer Style Type H - Younger lower and middle class consumers: percentage,,,,,,,,YES,,
TYP_H_CI,Population by Consumer Style Type H - Younger lower and middle class consumers: index (country eq.100),,,,,,,,YES,,
TYP_I_T,Population by Consumer Style Type I - Modern younger families: total,,,,,,,,YES,,
TYP_I_PER,Population by Consumer Style Type I - Modern younger families: percentage,,,,,,,,YES,,
TYP_I_CI,Population by Consumer Style Type I - Modern younger families: index (country eq.100),,,,,,,,YES,,
TYP_J_T,Population by Consumer Style Type J - Low-income younger consumers: total,,,,,,,,YES,,
TYP_J_PER,Population by Consumer Style Type J - Low-income younger consumers: percentage,,,,,,,,YES,,
TYP_J_CI,Population by Consumer Style Type J - Low-income younger consumers: index (country eq.100),,,,,,,,YES,,
HH_I1,"Households in 1st (lowest) Income Quintile, total",,,,,,,,,YES,
HH_I2,"Households in 2nd Income Quintile, total",,,,,,,,,YES,
HH_I3,"Households in 3rd Income Quintile, total",,,,,,,,,YES,
HH_I4,"Households in 4th Income Quintile, total",,,,,,,,,YES,
HH_I5,"Households in 5th Income Quintile, total",,,,,,,,,YES,
MA_1,Marital Status: single,,,,,,,,,,YES
MA_2,Marital Status: married,,,,,,,,,,YES
MA_3,Marital Status: divorced,,,,,,,,,,YES
MA_4,Marital Status: widowed,,,,,,,,,,YES
