vintage,stabb,pbkey,pbkey_percentage,linkid,linkid_percentage,rectype,rectype_percentage,business,business_percentage,fname,fname_percentage,mname,mname_percentage,lname,lname_percentage,suffix,suffix_percentage,gender,gender_percentage,dob,dob_percentage,address,address_percentage,house,house_percentage,predir,predir_percentage,street,street_percentage,strtype,strtype_percentage,postdir,postdir_percentage,apttype,apttype_percentage,aptnbr,aptnbr_percentage,city,city_percentage,state,state_percentage,zip,zip_percentage,z4,z4_percentage,vacant,vacant_percentage,prop_saleamt,prop_saleamt_percentage,prop_lendername,prop_lendername_percentage,prop_mtgamt,prop_mtgamt_percentage,prop_recdate,prop_recdate_percentage,prop_taxamt,prop_taxamt_percentage,prop_taxyr,prop_taxyr_percentage,prop_assed_val,prop_assed_val_percentage
202003,NC,8408776,100,8408776,100,8279156,98,1203633,14,7311745,87,5652122,67,7319584,87,437267,5,5114435,61,1894933,23,8408776,100,8403200,100,573491,7,8408761,100,8282443,98,314665,4,279741,3,283442,3,8408642,100,8408776,100,8408589,100,7679767,91,7679559,91,6686421,80,3650894,43,4700894,56,8376384,100,5415375,64,5413716,64,5456845,65
202003,OR,3766369,100,3766369,100,3717410,99,515399,14,3288193,87,2340586,62,3313185,88,69959,2,2423190,64,1021826,27,3766369,100,3765013,100,2190398,58,3766369,100,3706510,98,241470,6,138585,4,139017,4,3766368,100,3766369,100,3766334,100,3636133,97,3636115,97,3130173,83,1698979,45,2310173,61,3735367,99,2328639,62,2328049,62,2336265,62
202003,SC,4839797,100,4839797,100,4781981,99,741838,15,4106449,85,3194716,66,4115407,85,298271,6,3026922,63,1020643,21,4839797,100,4835210,100,299223,6,4839797,100,4741593,98,86206,2,242533,5,244892,5,4839729,100,4839797,100,4839731,100,4377875,90,4377687,90,3775442,78,1476821,31,2017109,42,4821866,100,3041919,63,3041925,63,2857301,59
202003,SD,186903,100,186903,100,186056,100,21493,11,164620,88,108537,58,165391,88,2250,1,107392,57,45804,25,186903,100,186899,100,104357,56,186903,100,182651,98,24522,13,3404,2,3412,2,186900,100,186903,100,186900,100,171224,92,171224,92,126421,68,2389,1,2908,2,186354,100,154786,83,154786,83,173826,93
202003,VA,5489461,100,5489461,100,5376629,98,709223,13,4803189,87,3752492,68,4804602,88,334773,6,3110900,57,1566579,29,5489461,100,5487721,100,354733,6,5489461,100,5430240,99,208989,4,353385,6,357612,7,5489455,100,5489461,100,5489455,100,5222039,95,5221989,95,4680387,85,2307187,42,3213128,59,5475785,100,3306205,60,3306243,60,3337871,61
202003,WA,6958305,100,6958305,100,6866705,99,790235,11,6180483,89,4137975,59,6199060,89,135572,2,4569503,66,1821632,26,6958305,100,6956693,100,2416880,35,6958302,100,6887323,99,3016948,43,583702,8,592196,9,6958245,100,6958305,100,6958208,100,6537678,94,6537642,94,6028702,87,3379843,49,4860028,70,6933194,100,4108549,59,4108683,59,4098769,59
202003,WI,2943536,100,2943536,100,2919582,99,405750,14,2548363,87,1850907,63,2555399,87,55089,2,1704822,58,641283,22,2943536,100,2943136,100,918536,31,2943536,100,2809313,95,68620,2,148010,5,149512,5,2943533,100,2943536,100,2943530,100,2689201,91,2685873,91,2528545,86,1029705,35,1299154,44,2922603,99,1960337,67,1960318,67,2036271,69
202003,WY,209123,100,209123,100,207056,99,36325,17,173633,83,123666,59,174441,83,4983,2,114939,55,23114,11,209123,100,209106,100,57695,28,209123,100,196994,94,2087,1,7102,3,7464,4,209121,100,209123,100,209120,100,178732,85,178727,85,96578,46,87509,42,109408,52,207938,99,153103,73,153105,73,154105,74
202003,AK,372419,100,372419,100,367571,99,43031,12,329919,89,247523,66,331077,89,11777,3,223717,60,69510,19,372419,100,372365,100,105010,28,372419,100,371834,100,1015,0,27073,7,27538,7,372418,100,372419,100,372418,100,307246,83,307245,82,202439,54,184038,49,247130,66,371044,100,227645,61,227645,61,236009,63
202003,AZ,7260484,100,7260484,100,7044129,97,1431907,20,5794303,80,3751071,52,5907604,81,144885,2,4104379,57,1553979,21,7260484,100,7260319,100,6708371,92,7260484,100,6803260,94,50490,1,543868,7,547725,8,7260294,100,7260484,100,7259944,100,6675882,92,6675786,92,5740482,79,3038265,42,4071567,56,7165000,99,4076285,56,4076285,56,4116837,57
202003,CT,2075765,100,2075765,100,2021936,97,213453,10,1859030,90,992768,48,1868931,90,60633,3,1124999,54,662468,32,2075765,100,2075357,100,72743,4,2075765,100,2054988,99,18651,1,187589,9,190281,9,2075765,100,2075765,100,2075765,100,1989439,96,1989372,96,1607415,77,1021453,49,1405728,68,2066832,100,1077540,52,1088054,52,1089015,52
202003,DC,397350,100,397350,100,390073,98,49344,12,348309,88,223078,56,348767,88,11995,3,224009,56,103085,26,397350,100,397134,100,4931,1,397350,100,397329,100,397321,100,142732,36,143385,36,397350,100,397350,100,397344,100,392992,99,392889,99,356786,90,210402,53,285404,72,395577,100,235314,59,235314,59,241552,61
202003,GA,7476195,100,7476195,100,7323796,98,1367307,18,6162798,82,4108280,55,6173934,83,297986,4,4149301,56,1884469,25,7476195,100,7473661,100,309787,4,7476195,100,7307737,98,1387874,19,227204,3,228523,3,7476060,100,7476195,100,7476053,100,7120203,95,7120068,95,6038349,81,3297046,44,4375844,59,7431755,99,4418850,59,4418852,59,4495154,60
202003,IN,3580939,100,3580939,100,3548431,99,676164,19,2937276,82,2020339,56,2941288,82,98081,3,1851372,52,709051,20,3580939,100,3578842,100,1416819,40,3580939,100,3214130,90,296647,8,35699,1,35928,1,3580939,100,3580939,100,3580933,100,3314146,93,3314057,93,1577385,44,1313983,37,1612685,45,3569271,100,2487730,69,2488197,69,2559611,71
202003,NH,687278,100,687278,100,666806,97,74686,11,610796,89,431307,63,613085,89,23887,3,403729,59,150188,22,687278,100,687047,100,20864,3,687278,100,675782,98,2381,0,50465,7,52069,8,687278,100,687278,100,687278,100,634227,92,634225,92,593930,86,396056,58,430392,63,681784,99,433166,63,437048,64,434698,63
202003,OK,3255057,100,3255057,100,3218576,99,544417,17,2705279,83,1825639,56,2718983,84,98284,3,1979807,61,711305,22,3255057,100,3254707,100,2149566,66,3255056,100,3124876,96,127742,4,38353,1,39162,1,3254928,100,3255057,100,3254921,100,3046115,94,3046070,94,2527341,78,1141676,35,1492724,46,3227116,99,2014072,62,2014071,62,2047632,63
202003,RI,533945,100,533945,100,520834,98,53625,10,479434,90,293235,55,481858,90,14991,3,306186,57,128353,24,533945,100,533855,100,12334,2,533945,100,531290,100,1029,0,36081,7,36720,7,533945,100,533945,100,533945,100,517181,97,517174,97,470905,88,307916,58,398176,75,527517,99,283942,53,288883,54,288718,54
202003,TX,18718911,100,18718911,100,18467327,99,2819619,15,15981712,85,9328914,50,16030930,86,655872,4,10882880,58,4419271,24,18718905,100,18707236,100,2089787,11,18718768,100,17091716,91,248421,1,571408,3,579039,3,18718693,100,18718911,100,18718625,100,17309692,92,17309523,92,10123044,54,7958493,43,10403218,56,18657403,100,11478515,61,11478496,61,11478761,61
202003,AL,2731781,100,2731781,100,2685655,98,347769,13,2415446,88,1661856,61,2419660,89,137074,5,1703247,62,639555,23,2731781,100,2730031,100,132003,5,2731781,100,2503244,92,413844,15,66135,2,67785,2,2731721,100,2731781,100,2731717,100,2558981,94,2558943,94,1825410,67,840868,31,1079885,40,2725837,100,1676650,61,1676784,61,1860410,68
202003,AR,1876197,100,1876197,100,1860301,99,268073,14,1600562,85,980911,52,1609776,86,66911,4,1068069,57,360269,19,1876197,100,1875439,100,466332,25,1876087,100,1651306,88,66598,4,16031,1,16333,1,1876087,100,1876197,100,1876087,100,1721409,92,1721390,92,1458241,78,518752,28,701295,37,1859567,99,1332512,71,1332516,71,1412695,75
202003,IL,10042022,100,10042022,100,9836566,98,1515487,15,8526051,85,4286096,43,8645968,86,193585,2,5903792,59,2608383,26,10042022,100,10041257,100,4827461,48,10042022,100,9921605,99,67578,1,1424143,14,1439599,14,10042019,100,10042022,100,10042002,100,9555177,95,9554724,95,8014837,80,4739929,47,6294524,63,9978438,99,5982517,60,5982528,60,6028933,60
202003,MD,4988915,100,4988915,100,4918387,99,662054,13,4328945,87,3193079,64,4333792,87,340222,7,2862682,57,1434632,29,4988915,100,4986458,100,315673,6,4988915,100,4943585,99,48532,1,388358,8,394126,8,4988914,100,4988915,100,4988912,100,4829260,97,4829226,97,4226265,85,2261162,45,3274586,66,4970820,100,2894587,58,2894583,58,2963334,59
202003,MN,3494115,100,3494115,100,3432617,98,410279,12,3085924,88,2093944,60,3087872,88,39046,1,2101654,60,1013856,29,3494115,100,3493752,100,276188,8,3494115,100,3376491,97,1566861,45,199105,6,200390,6,3494101,100,3494115,100,3494098,100,3303875,95,3303842,95,3159429,90,1037960,30,1413618,40,3484757,100,2223958,64,2223958,64,2216623,63
202003,NJ,6154778,100,6154778,100,6033928,98,688824,11,5467109,89,2364164,38,5470346,89,211796,3,3622478,59,1921301,31,6154778,100,6152479,100,526593,9,6154778,100,6029040,98,78205,1,377520,6,381175,6,6154714,100,6154778,100,6154714,100,5824053,95,5823379,95,5510210,90,2840840,46,4053422,66,6131184,100,3462889,56,3462651,56,3482737,57
202003,PA,8991614,100,8991614,100,8872247,99,936431,10,8120064,90,5457222,61,8131468,90,495480,6,5399377,60,2462820,27,8991614,100,8981500,100,1555899,17,8991590,100,8895377,99,43354,0,187256,2,190838,2,8991085,100,8991614,100,8991086,100,8320827,93,8320670,93,6941315,77,3375316,38,4477950,50,8957509,100,6084307,68,6080685,68,6117106,68
202003,TN,5115067,100,5115067,100,5025289,98,641638,13,4506470,88,2993227,59,4517335,88,206396,4,3152920,62,1292975,25,5115067,100,5108293,100,330722,6,5115053,100,4989639,98,196450,4,129729,3,135226,3,5115024,100,5115067,100,5115024,100,4788687,94,4788528,94,4262455,83,1966690,38,2589418,51,5094476,100,2921432,57,2921435,57,2950195,58
202003,UT,2014618,100,2014618,100,1981321,98,349033,17,1672792,83,1035323,51,1674354,83,21538,1,1188215,59,511623,25,2014618,100,2014598,100,1716934,85,2014618,100,1105673,55,892588,44,161098,8,162134,8,2014582,100,2014618,100,2014524,100,1887350,94,1887255,94,1154421,57,1008142,50,1382564,69,1993823,99,1068965,53,1068966,53,1107593,55
202003,VT,211850,100,211850,100,209179,99,21330,10,189985,90,115931,55,190713,90,6953,3,122823,58,54433,26,211850,100,211813,100,12758,6,211850,100,200817,95,3317,2,10495,5,11006,5,211850,100,211850,100,211849,100,189576,89,189562,89,176793,83,1096,1,1130,1,203764,96,110175,52,110175,52,122818,58
