vintage,stabb,pid,pid_percentage,addrid,addrid_percentage,rectype,rectype_percentage,business,business_percentage,fname,fname_percentage,mname,mname_percentage,lname,lname_percentage,suffix,suffix_percentage,gender,gender_percentage,dob,dob_percentage,address,address_percentage,house,house_percentage,predir,predir_percentage,street,street_percentage,strtype,strtype_percentage,postdir,postdir_percentage,apttype,apttype_percentage,aptnbr,aptnbr_percentage,city,city_percentage,state,state_percentage,zip,zip_percentage,z4,z4_percentage,vacant,vacant_percentage,prop_saleamt,prop_saleamt_percentage,prop_lendername,prop_lendername_percentage,prop_mtgamt,prop_mtgamt_percentage,prop_recdate,prop_recdate_percentage,prop_taxamt,prop_taxamt_percentage,prop_taxyr,prop_taxyr_percentage,prop_assed_val,prop_assed_val_percentage
202004,CA,24051221,100,24051221,100,23393212,97.2641,3835612,15.9477,20192376,83.9557,12496477,51.9578,20361681,84.6597,504523,2.0977,12771269,53.1003,5951936,24.7469,24051189,99.9999,24051127,99.9996,3546126,14.7441,24051076,99.9994,22609766,94.0067,150318,0.625,1995226,8.2957,2013176,8.3704,24051221,100,24051221,100,24040605,99.9559,23132511,96.1802,23132356,96.1796,17670943,73.4721,12294917,51.1197,16734715,69.5795,23762745,98.8006,13411867,55.7638,13411841,55.7637,13449954,55.9221
202004,DE,640604,100,640604,100,633627,98.9109,99982,15.6075,545539,85.1601,403656,63.0118,545261,85.1167,42468,6.6294,364430,56.8885,172515,26.9301,640604,100,640571,99.9949,97400,15.2044,640604,100,637465,99.51,4515,0.7048,7719,1.205,7853,1.2259,640604,100,640604,100,640604,100,608913,95.053,608901,95.0511,523847,81.7739,296455,46.2774,402769,62.8733,638537,99.6773,406717,63.4896,406717,63.4896,428655,66.9142
202004,HI,633820,100,633820,100,606304,95.6587,122026,19.2525,519383,81.9449,394604,62.2581,523777,82.6381,15282,2.4111,326973,51.5877,91022,14.3609,633820,100,633751,99.9891,37802,5.9642,633820,100,631960,99.7065,29,0.0046,321735,50.7613,324170,51.1454,633820,100,633820,100,633820,100,598290,94.3943,598288,94.394,449494,70.9182,234477,36.9943,313382,49.4434,629421,99.306,376280,59.367,376280,59.367,383753,60.5461
202004,IA,1504904,100,1504904,100,1490228,99.0248,194430,12.9198,1319025,87.6484,930610,61.8385,1320108,87.7204,20564,1.3665,942247,62.6118,393127,26.1231,1504904,100,1504899,99.9997,416423,27.6711,1504904,100,1474634,97.9886,193313,12.8455,41761,2.775,41981,2.7896,1504896,99.9995,1504904,100,1504772,99.9912,1440497,95.7202,1440487,95.7195,1139235,75.7015,719972,47.8417,852404,56.6418,1496943,99.471,1017028,67.5809,1017077,67.5842,1024084,68.0498
202004,MS,772186,100,772186,100,762256,98.714,102028,13.2129,680204,88.0881,455114,58.9384,681153,88.211,41637,5.3921,377782,48.9237,138238,17.9022,772186,100,772130,99.9927,52447,6.792,772180,99.9992,703537,91.1098,44316,5.739,8647,1.1198,8764,1.135,772086,99.987,772186,100,772011,99.9773,739077,95.7123,739075,95.712,164915,21.3569,164168,21.2602,191497,24.7993,766677,99.2866,575777,74.5645,575338,74.5077,624232,80.8396
202004,MT,702070,100,702070,100,696287,99.1763,101471,14.4531,599152,85.3408,421668,60.0607,601351,85.654,13711,1.9529,391412,55.7511,127656,18.1828,702070,100,702068,99.9997,102397,14.585,702070,100,674336,96.0497,94897,13.5167,23530,3.3515,23898,3.4039,702070,100,702070,100,702070,100,582266,82.9356,582255,82.934,258943,36.8828,256041,36.4694,335056,47.724,690231,98.3137,485525,69.1562,485522,69.1558,495557,70.5851
202004,NE,985415,100,985415,100,974437,98.886,133650,13.5628,855845,86.8512,628506,63.7808,856810,86.9492,19188,1.9472,583962,59.2605,250241,25.3945,985408,99.9993,985380,99.9964,413289,41.9406,985408,99.9993,947696,96.1723,5048,0.5123,14158,1.4368,14395,1.4608,985239,99.9821,985415,100,985210,99.9792,936454,95.0314,936449,95.0309,857701,87.0396,375097,38.0649,493708,50.1015,981702,99.6232,668432,67.8325,668417,67.831,683981,69.4104
202004,NV,4294194,100,4294194,100,4188969,97.5496,979047,22.7993,3270672,76.165,1847373,43.0203,3334855,77.6596,86866,2.0229,2424056,56.4496,750241,17.4711,4294194,100,4294192,100,474145,11.0415,4294110,99.998,4256875,99.1309,22682,0.5282,526837,12.2686,528806,12.3144,4294194,100,4294194,100,4274163,99.5335,4157038,96.806,4152098,96.691,3452437,80.3978,1879574,43.7701,2589690,60.3068,4256489,99.122,2473609,57.6036,2473609,57.6036,2489531,57.9744
202004,NM,907407,100,907407,100,891597,98.2577,112844,12.4359,796571,87.7854,512491,56.4786,797443,87.8815,23267,2.5641,543206,59.8635,203067,22.3788,907407,100,907302,99.9884,80305,8.8499,907407,100,818062,90.1538,475008,52.3478,21048,2.3196,21308,2.3482,907405,99.9998,907407,100,907001,99.9553,848221,93.4775,848212,93.4765,511474,56.3665,423031,46.6198,563342,62.0826,903337,99.5515,556017,61.2754,556018,61.2755,565269,62.295
202004,NC,8375143,100,8375143,100,8245871,98.4565,1192589,14.2396,7286492,87.0014,5625366,67.1674,7294360,87.0954,433337,5.1741,5113427,61.0548,1891010,22.5788,8375141,100,8373672,99.9824,563938,6.7335,8375121,99.9997,8254482,98.5593,314564,3.7559,252701,3.0173,255894,3.0554,8375049,99.9989,8375143,100,8372758,99.9715,7704726,91.9952,7704575,91.9934,6679131,79.7495,3667523,43.7906,4715668,56.3055,8343901,99.627,5383675,64.2816,5382110,64.2629,5425676,64.7831
202004,OR,3744106,100,3744106,100,3695442,98.7002,507409,13.5522,3272983,87.4169,2328035,62.1787,3297779,88.0792,69544,1.8574,2416096,64.5307,1018700,27.2081,3744077,99.9992,3743969,99.9963,2184604,58.3478,3744077,99.9992,3687490,98.4879,240754,6.4302,137213,3.6648,137627,3.6758,3744105,100,3744106,100,3743598,99.9864,3627800,96.8936,3627792,96.8934,3115849,83.2201,1698815,45.373,2309379,61.6804,3714123,99.1992,2313486,61.7901,2312900,61.7744,2320819,61.9859
202004,SC,4766743,100,4766743,100,4709413,98.7973,722448,15.156,4052330,85.0126,3152491,66.1351,4061279,85.2003,293653,6.1605,2991185,62.7511,1015062,21.2947,4766156,99.9877,4764683,99.9568,292223,6.1305,4766156,99.9877,4674572,98.0664,83693,1.7558,226231,4.746,228315,4.7897,4766713,99.9994,4766743,100,4766693,99.999,4351797,91.295,4351628,91.2914,3728857,78.2265,1473683,30.9159,2009376,42.1541,4749828,99.6451,3000091,62.938,3000097,62.9381,2812596,59.0046
202004,SD,175179,100,175179,100,174367,99.5365,19927,11.3752,154500,88.1955,103770,59.2366,155235,88.6151,2114,1.2068,101045,57.681,44009,25.1223,175179,100,175179,100,99810,56.976,175179,100,171602,97.9581,22141,12.6391,3288,1.8769,3294,1.8804,175177,99.9989,175179,100,174894,99.8373,162510,92.768,162510,92.768,122294,69.8109,2731,1.559,3241,1.8501,174786,99.7757,147618,84.2669,147618,84.2669,162727,92.8918
202004,VA,5335886,100,5335886,100,5227444,97.9677,688553,12.9042,4669834,87.5175,3650076,68.4062,4671238,87.5438,326449,6.118,3026686,56.7232,1534484,28.7578,5335591,99.9945,5335440,99.9916,343487,6.4373,5335591,99.9945,5280958,98.9706,199237,3.7339,310662,5.8221,314424,5.8926,5335885,100,5335886,100,5335820,99.9988,5092914,95.4465,5092877,95.4458,4553028,85.3284,2248146,42.1326,3133853,58.7316,5322734,99.7535,3205211,60.069,3205248,60.0697,3234294,60.614
202004,WA,6937402,100,6937402,100,6846318,98.6871,778279,11.2186,6171015,88.9528,4125544,59.4681,6189404,89.2179,135018,1.9462,4567574,65.8398,1817659,26.2009,6937327,99.9989,6937319,99.9988,2415230,34.8146,6937325,99.9989,6871247,99.0464,3022117,43.5627,583872,8.4163,591739,8.5297,6937350,99.9992,6937402,100,6936106,99.9813,6564944,94.6312,6564912,94.6307,6020068,86.777,3397208,48.9695,4872223,70.2312,6913566,99.6564,4104224,59.1608,4104358,59.1628,4094337,59.0183
202004,WI,2862054,100,2862054,100,2838614,99.181,380374,13.2902,2491105,87.0391,1811437,63.2915,2497837,87.2743,53425,1.8667,1671769,58.4115,639488,22.3437,2862054,100,2862039,99.9995,919999,32.1447,2862054,100,2734161,95.5314,63423,2.216,139541,4.8756,140759,4.9181,2862054,100,2862054,100,2862016,99.9987,2696255,94.207,2696127,94.2025,2465639,86.1493,1012405,35.3734,1274364,44.5262,2843473,99.3508,1913349,66.8523,1913330,66.8516,1979308,69.1569
202004,WY,201120,100,201120,100,199098,98.9946,34276,17.0426,167667,83.3666,119395,59.3651,168435,83.7485,4792,2.3827,110603,54.9935,22853,11.3629,201120,100,201113,99.9965,54811,27.2529,201120,100,190030,94.4859,1870,0.9298,5887,2.9271,6014,2.9903,201120,100,201120,100,201118,99.999,176493,87.7551,176489,87.7531,94187,46.8312,85291,42.408,106876,53.1404,200054,99.47,146798,72.9903,146800,72.9913,147628,73.4029
202004,CO,5591554,100,5591554,100,5511240,98.5637,828452,14.8161,4776701,85.4271,3410167,60.9878,4799983,85.8434,133657,2.3903,3561457,63.6935,1568489,28.051,5591526,99.9995,5591511,99.9992,1934470,34.5963,5591526,99.9995,5446989,97.4146,44036,0.7875,688065,12.3054,692622,12.3869,5591541,99.9998,5591554,100,5586175,99.9038,5161810,92.3144,5161757,92.3135,4743114,84.8264,2619397,46.8456,3680830,65.8284,5564698,99.5197,3263754,58.3694,3263755,58.3694,3289549,58.8307
202004,FL,25965001,100,25965001,100,25559817,98.4395,4111244,15.8338,21922343,84.4304,13648266,52.5641,21986407,84.6771,798803,3.0765,16089552,61.9663,6084664,23.4341,25957916,99.9727,25954285,99.9587,8028947,30.9222,25957902,99.9727,25332807,97.5652,2144620,8.2597,4426142,17.0466,4461791,17.1839,25964998,100,25965001,100,25952335,99.9512,24187823,93.1555,24187727,93.1551,22124378,85.2085,9751373,37.5558,13416157,51.6702,25821922,99.449,14372229,55.3523,14372565,55.3536,14511402,55.8883
202004,ID,1069982,100,1069982,100,1059036,98.977,170771,15.9602,899762,84.0913,575030,53.742,904475,84.5318,17949,1.6775,643747,60.1643,222423,20.7875,1069982,100,1069982,100,666025,62.2464,1069982,100,1005564,93.9795,69688,6.513,16429,1.5354,19342,1.8077,1069982,100,1069982,100,1069909,99.9932,972152,90.8569,972147,90.8564,653339,61.0607,508147,47.4912,692296,64.7016,1058410,98.9185,702286,65.6353,702286,65.6353,706453,66.0248
202004,KS,1619189,100,1619189,100,1585220,97.9021,264294,16.3226,1380878,85.2821,972369,60.0528,1385744,85.5826,38150,2.3561,928709,57.3564,379975,23.467,1619189,100,1619185,99.9998,991194,61.2155,1619189,100,1587881,98.0664,26536,1.6388,11473,0.7086,11477,0.7088,1619144,99.9972,1619189,100,1618881,99.981,1501295,92.7189,1501281,92.7181,1146956,70.8352,545904,33.7147,711731,43.956,1613259,99.6338,1003137,61.953,1003137,61.953,1190475,73.5229
202004,KY,1984240,100,1984240,100,1967602,99.1615,258665,13.036,1732522,87.3141,1105058,55.6917,1736794,87.5294,74117,3.7353,1178326,59.3843,508335,25.6186,1984240,100,1983901,99.9829,176763,8.9083,1984240,100,1905678,96.0407,25648,1.2926,32841,1.6551,32960,1.6611,1984203,99.9981,1984240,100,1984200,99.998,1874435,94.4661,1874420,94.4654,1605883,80.9319,552380,27.8384,728349,36.7067,1978485,99.71,1272697,64.1403,1272676,64.1392,1340043,67.5343
202004,LA,1869228,100,1869228,100,1829914,97.8968,279423,14.9486,1616684,86.4894,1239230,66.2964,1616957,86.504,147336,7.8822,955573,51.1213,321874,17.2196,1869228,100,1869169,99.9968,162970,8.7186,1869188,99.9979,1798346,96.208,13989,0.7484,54554,2.9185,54938,2.9391,1869215,99.9993,1869228,100,1869205,99.9988,1733044,92.7144,1733035,92.7139,1404871,75.1578,657725,35.187,752194,40.2409,1860344,99.5247,1346807,72.0515,1346807,72.0515,1370963,73.3438
202004,ME,375327,100,375327,100,370894,98.8189,46646,12.4281,334976,89.2491,232502,61.9465,335726,89.4489,12307,3.279,234776,62.5524,82448,21.967,375327,100,375304,99.9939,12892,3.4349,375327,100,369448,98.4336,2804,0.7471,9964,2.6548,10145,2.703,375327,100,375327,100,375319,99.9979,331926,88.4365,331895,88.4282,193311,51.5047,184331,49.1121,193310,51.5044,374412,99.7562,279844,74.5601,283178,75.4483,285651,76.1072
202004,MA,4083563,100,4083563,100,3978027,97.4156,441495,10.8115,3629625,88.8838,2423097,59.3378,3659517,89.6158,98539,2.4131,2266833,55.5112,1223715,29.9668,4083563,100,4081800,99.9568,112223,2.7482,4083563,100,4048647,99.145,13255,0.3246,441421,10.8097,450065,11.0214,4083563,100,4083563,100,4083563,100,3896557,95.4205,3896516,95.4195,3245278,79.4717,1957874,47.9452,2664066,65.2388,4060424,99.4334,2280281,55.8405,2325560,56.9493,2323839,56.9071
202004,MI,5686185,100,5686185,100,5607261,98.612,1099620,19.3384,4721462,83.0339,2300585,40.4592,4738270,83.3295,121058,2.129,3151717,55.4276,1371830,24.1257,5686014,99.997,5685358,99.9855,792788,13.9424,5685996,99.9967,5538545,97.4035,286646,5.0411,99041,1.7418,100179,1.7618,5686185,100,5686185,100,5686185,100,5370425,94.4469,5370417,94.4467,4541031,79.8608,2034690,35.783,2653157,46.6597,5644232,99.2622,3280097,57.6854,3277765,57.6444,3708552,65.2204
202004,MO,3757946,100,3757946,100,3711137,98.7544,718164,19.1105,3060672,81.4453,2065301,54.9582,3074366,81.8097,107282,2.8548,2068464,55.0424,939396,24.9976,3757946,100,3757776,99.9955,1193920,31.7705,3757944,99.9999,3580033,95.2657,46550,1.2387,106065,2.8224,106764,2.841,3757900,99.9988,3757946,100,3757784,99.9957,3544975,94.3328,3544780,94.3276,1813686,48.2627,1446023,38.4791,1908158,50.7766,3744018,99.6294,2355399,62.6778,2355401,62.6779,2390239,63.6049
202004,NY,8246063,100,8246063,100,8102485,98.2588,1053055,12.7704,7189330,87.185,3094951,37.5325,7204789,87.3725,193178,2.3427,4569903,55.4192,2265067,27.4685,8246063,100,8245528,99.9935,841391,10.2035,8246059,100,7937916,96.2631,113003,1.3704,773083,9.3752,779238,9.4498,8246053,99.9999,8246063,100,8245374,99.9916,7773877,94.2738,7773805,94.2729,6516808,79.0293,2807173,34.0426,3615923,43.8503,8210389,99.5674,4977472,60.3618,4981878,60.4152,5064515,61.4174
202004,ND,298427,100,298427,100,296414,99.3255,53529,17.937,245114,82.1353,152582,51.1288,245124,82.1387,3701,1.2402,186185,62.3888,38858,13.0209,298377,99.9832,298324,99.9655,27562,9.2358,298377,99.9832,292649,98.0639,188136,63.0426,13521,4.5308,13601,4.5576,298427,100,298427,100,298385,99.9859,276895,92.7848,276890,92.7832,212474,71.198,144434,48.3984,187040,62.6753,297515,99.6944,206082,69.0561,206082,69.0561,197880,66.3077
202004,OH,11047832,100,11047832,100,10954713,99.1571,1692373,15.3186,9433480,85.3876,6989432,63.2652,9445993,85.5009,350492,3.1725,7097288,64.2415,2985828,27.0264,11047832,100,11043237,99.9584,1445607,13.085,11047763,99.9994,10693871,96.7961,623575,5.6443,255742,2.3149,257807,2.3336,11047770,99.9994,11047832,100,11047334,99.9955,10550809,95.5012,10550568,95.499,9091108,82.2886,4752501,43.0175,6619165,59.9137,10995124,99.5229,6525988,59.0703,6525988,59.0703,6562028,59.3965
202004,WV,382894,100,382894,100,380699,99.4267,33038,8.6285,349820,91.3621,285568,74.5815,349659,91.32,24043,6.2793,143055,37.3615,44127,11.5246,382894,100,382835,99.9846,21475,5.6086,382894,100,380721,99.4325,7481,1.9538,2649,0.6918,2628,0.6864,382878,99.9958,382894,100,382869,99.9935,348340,90.9756,348340,90.9756,250792,65.4991,71125,18.5756,80527,21.0311,380194,99.2948,296143,77.3433,296149,77.3449,310971,81.2159
202004,AL,2716780,100,2716780,100,2671036,98.3162,344729,12.6889,2402526,88.4328,1653399,60.8588,2406637,88.5842,136028,5.007,1708448,62.885,633616,23.3223,2716758,99.9992,2716499,99.9897,130102,4.7888,2716758,99.9992,2507954,92.3135,427192,15.7242,64848,2.3869,65853,2.4239,2716753,99.999,2716780,100,2716634,99.9946,2567971,94.5226,2567952,94.5219,1843956,67.8729,859319,31.6301,1099697,40.478,2711341,99.7998,1665388,61.3001,1665512,61.3046,1847008,67.9852
202004,AR,1706830,100,1706830,100,1692113,99.1378,245731,14.3969,1454639,85.2246,901896,52.8404,1462396,85.6791,60587,3.5497,972831,56.9964,340666,19.959,1706830,100,1706581,99.9854,427747,25.0609,1706825,99.9997,1526454,89.4321,52875,3.0978,9973,0.5843,10005,0.5862,1706772,99.9966,1706830,100,1706748,99.9952,1593727,93.3735,1593715,93.3728,1338311,78.4092,498308,29.1949,674211,39.5008,1692348,99.1515,1201635,70.4016,1201639,70.4018,1268755,74.334
202004,IL,9937411,100,9937411,100,9733062,97.9436,1497189,15.0662,8439703,84.9286,4233340,42.6,8558837,86.1274,191230,1.9243,5846305,58.8313,2592129,26.0846,9937387,99.9998,9937252,99.9984,4789820,48.1999,9937387,99.9998,9825985,98.8787,64740,0.6515,1410246,14.1913,1425565,14.3454,9937408,100,9937411,100,9929387,99.9193,9485973,95.4572,9485595,95.4534,7931787,79.8174,4707245,47.3689,6253361,62.9275,9874903,99.371,5903641,59.4082,5903648,59.4083,5948640,59.8611
202004,MD,4933696,100,4933696,100,4863814,98.5836,651883,13.2129,4283894,86.8293,3159107,64.0312,4288724,86.9272,336839,6.8273,2831599,57.3931,1426170,28.9067,4933696,100,4933475,99.9955,311977,6.3234,4933696,100,4888960,99.0933,47654,0.9659,368699,7.4731,373796,7.5764,4933695,100,4933696,100,4933349,99.993,4792351,97.1351,4792325,97.1346,4180788,84.7395,2238610,45.3739,3244875,65.7697,4915842,99.6381,2858829,57.945,2858825,57.9449,2925853,59.3035
202004,MN,3456646,100,3456646,100,3395274,98.2245,404183,11.6929,3054558,88.3677,2074261,60.0079,3056348,88.4195,38716,1.12,2081741,60.2243,1009273,29.198,3456415,99.9933,3456372,99.9921,271973,7.8681,3456415,99.9933,3343312,96.7213,1557421,45.0558,195536,5.6568,196624,5.6883,3456634,99.9997,3456646,100,3456596,99.9986,3283846,95.0009,3283817,95.0001,3123363,90.3582,1039401,30.0696,1415360,40.9461,3447448,99.7339,2193752,63.4648,2193752,63.4648,2186590,63.2576
202004,NJ,5948027,100,5948027,100,5830189,98.0189,653504,10.9869,5295727,89.0333,2291609,38.5272,5298794,89.0849,205303,3.4516,3508709,58.9895,1891361,31.7981,5948026,100,5947815,99.9964,507108,8.5257,5948026,100,5842687,98.229,74637,1.2548,325782,5.4771,328761,5.5272,5948023,99.9999,5948027,100,5948006,99.9996,5694487,95.7374,5694224,95.733,5326921,89.5578,2755088,46.3194,3941409,66.2641,5925477,99.6209,3332051,56.0194,3331833,56.0158,3349112,56.3063
202004,PA,8776572,100,8776572,100,8659334,98.6642,907205,10.3367,7930288,90.3575,5322347,60.6427,7941142,90.4811,483498,5.509,5275171,60.1051,2432279,27.7133,8776572,100,8775638,99.9894,1543830,17.5904,8776548,99.9997,8691526,99.031,41705,0.4752,174455,1.9877,177220,2.0192,8776413,99.9982,8776572,100,8776226,99.9961,8253390,94.0389,8253323,94.0381,6792521,77.3938,3338924,38.0436,4418918,50.349,8743849,99.6272,5923328,67.4902,5919849,67.4506,5954551,67.846
202004,TN,5067935,100,5067935,100,4978934,98.2438,631229,12.4553,4468548,88.173,2964406,58.4934,4479671,88.3924,204522,4.0356,3134188,61.8435,1285129,25.358,5067935,100,5067514,99.9917,326459,6.4417,5067921,99.9997,4949837,97.6697,198974,3.9261,128382,2.5332,133066,2.6256,5067923,99.9998,5067935,100,5067923,99.9998,4784402,94.4054,4784272,94.4028,4232024,83.5059,1969790,38.8677,2589921,51.1041,5048206,99.6107,2893128,57.0869,2893131,57.087,2921161,57.6401
202004,UT,1978446,100,1978446,100,1945425,98.331,340459,17.2084,1645077,83.15,1016608,51.3842,1646568,83.2253,21046,1.0638,1168972,59.0854,508853,25.7198,1978446,100,1978443,99.9999,1687942,85.3166,1978446,100,1089094,55.048,872939,44.1225,158337,8.0031,159388,8.0562,1978411,99.9982,1978446,100,1977927,99.9738,1870507,94.5443,1869584,94.4976,1138812,57.5609,995776,50.3312,1365289,69.0082,1958210,98.9772,1042232,52.6793,1042233,52.6794,1082416,54.7104
202004,VT,171447,100,171447,100,169215,98.6981,17227,10.048,153808,89.7117,95519,55.7134,154372,90.0407,5614,3.2745,99418,57.9876,47070,27.4545,171447,100,171445,99.9988,10239,5.9721,171447,100,164102,95.7159,2389,1.3934,6896,4.0222,6991,4.0776,171447,100,171447,100,171437,99.9942,159244,92.8823,159235,92.8771,143409,83.6463,946,0.5518,983,0.5734,165487,96.5237,88374,51.546,88374,51.546,98872,57.6691
