COUNTRY,ISO,TOTAL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,SEA/OCEAN,Version
Hong Kong,HKG,571,1,18,388,0,106,0,58,2020.09
Indonesia,IDN,50742,1,34,514,5190,304,44696,3,2020.09
India,IND,30104,1,39,745,6400,433,22465,21,2020.09
British Indian Ocean Territory,IOT,8,1,0,0,0,0,0,7,2020.09
Iran,IRN,892,1,31,429,5,416,0,10,2020.09
Iraq,IRQ,250,1,19,120,25,84,0,1,2020.09
Israel,ISR,2147,1,6,0,1155,0,983,2,2020.09
Jordan,JOR,502,1,12,51,89,13,335,1,2020.09
Japan,JPN,119348,1,47,21,1896,117360,0,23,2020.09
Kazakhstan,KAZ,3404,1,17,215,2447,723,0,1,2020.09
Kyrgyzstan,KGZ,194,1,9,54,0,130,0,0,2020.09
Cambodia,KHM,1871,1,25,194,1620,30,0,1,2020.09
Korea (South),KOR,1241,1,17,230,0,2,990,1,2020.09
Kuwait,KWT,998,1,6,1,194,795,0,1,2020.09
Laos,LAO,188,1,18,148,21,0,0,0,2020.09
Lebanon,LBN,2847,1,8,26,1566,1244,0,2,2020.09
Sri Lanka,LKA,460,1,9,25,331,44,49,1,2020.09
Macao,MAC,41,1,9,25,0,0,0,6,2020.09
Maldives,MDV,416,1,21,393,0,0,0,1,2020.09
Myanmar,MMR,632,1,18,74,330,208,0,1,2020.09
Mongolia,MNG,391,1,22,339,29,0,0,0,2020.09
Malaysia,MYS,1777,1,16,159,891,577,125,8,2020.09
Nepal,NPL,98,1,7,77,13,0,0,0,2020.09
Oman,OMN,204,1,11,61,2,127,0,2,2020.09
Pakistan,PAK,406,1,6,132,4,261,0,2,2020.09
Philippines,PHL,44071,1,17,87,1633,543,41786,4,2020.09
Korea (North),PRK,87,1,11,0,0,73,0,2,2020.09
Palestine,PSE,30,1,2,16,11,0,0,0,2020.09
Qatar,QAT,119,1,8,82,27,0,0,1,2020.09
Russia,RUS,149337,1,8,83,2355,20167,126686,37,2020.09
Saudi Arabia,SAU,2504,1,13,147,176,2163,0,4,2020.09
Singapore,SGP,62,1,5,55,0,0,0,1,2020.09
Syria,SYR,116,1,15,62,2,35,0,1,2020.09
Thailand,THA,15705,1,77,928,7414,7283,0,2,2020.09
Tajikistan,TJK,215,1,5,76,0,133,0,0,2020.09
Turkmenistan,TKM,264,1,6,61,0,195,0,1,2020.09
East Timor (Timor Leste),TLS,81,1,13,65,0,1,0,1,2020.09
Taiwan,TWN,971,1,8,22,368,571,0,1,2020.09
Uzbekistan,UZB,604,1,14,193,3,393,0,0,2020.09
Vietnam,VNM,15480,1,66,697,11108,3600,0,8,2020.09
Yemen,YEM,593,1,22,333,0,226,0,11,2020.09
Andorra,AND,46,1,7,38,0,0,0,0,2020.09
Austria,AUT,16004,1,9,92,2118,13562,222,0,2020.09
Belgium,BEL,3343,1,3,11,43,581,2703,1,2020.09
Switzerland,CHE,9979,1,26,143,2225,7584,0,0,2020.09
Germany,DEU,90099,1,16,38,401,11113,78473,57,2020.09
Denmark,DNK,6760,1,5,99,0,6473,50,132,2020.09
Spain,ESP,44169,1,19,52,8123,34249,1696,29,2020.09
Finland,FIN,6571,1,19,70,311,5969,200,1,2020.09
France,FRA,37709,1,13,96,320,2009,35262,8,2020.09
Faroe Islands,FRO,117,1,6,29,80,0,0,1,2020.09
United Kingdom,GBR,19346,1,7,186,404,431,18094,223,2020.09
Gibraltar,GIB,3,1,0,0,1,1,0,0,2020.09
Ireland,IRL,49279,1,31,0,3432,45717,97,1,2020.09
Iceland,ISL,201,1,8,74,117,0,0,1,2020.09
Italy,ITA,44618,1,20,107,7954,36001,498,37,2020.09
Liechtenstein,LIE,38,1,2,11,24,0,0,0,2020.09
Luxembourg,LUX,1309,1,12,102,522,648,24,0,2020.09
Monaco,MCO,13,1,1,10,0,0,0,1,2020.09
Malta,MLT,163,1,6,68,87,0,0,1,2020.09
Netherlands,NLD,7471,1,12,355,2466,2806,1803,28,2020.09
Norway,NOR,3529,1,12,91,356,3014,24,31,2020.09
Portugal,PRT,17505,1,29,308,3091,14013,50,13,2020.09
San Marino,SMR,21,1,9,11,0,0,0,0,2020.09
Sweden,SWE,6192,1,21,290,0,5653,176,51,2020.09
Vatican City,VAT,2,1,0,0,0,1,0,0,2020.09
Albania,ALB,2043,1,12,61,372,1596,0,1,2020.09
Bulgaria,BGR,5266,1,28,264,109,4863,0,1,2020.09
Bosnia and Herzegovina,BIH,751,1,3,18,135,585,8,1,2020.09
Belarus,BLR,3208,1,7,131,1549,1520,0,0,2020.09
Cyprus,CYP,1352,1,6,615,602,127,0,1,2020.09
Czech Republic,CZE,21835,1,14,206,6258,15356,0,0,2020.09
Estonia,EST,8274,1,15,79,4696,3482,0,1,2020.09
Georgia,GEO,240,1,12,74,152,0,0,1,2020.09
Greece,GRC,13062,1,14,75,326,12270,217,159,2020.09
Croatia,HRV,8309,1,21,556,0,7631,99,1,2020.09
Hungary,HUN,8010,1,20,197,3177,4615,0,0,2020.09
Lithuania,LTU,1397,1,10,60,0,1324,0,2,2020.09
Latvia,LVA,1932,1,6,119,588,1217,0,1,2020.09
Moldova,MDA,2603,1,37,980,0,1585,0,0,2020.09
Macedonia,MKD,1546,1,8,80,0,1457,0,0,2020.09
Montenegro,MNE,225,1,23,2,0,198,0,1,2020.09
Poland,POL,44103,1,16,379,2478,40596,629,4,2020.09
Romania,ROU,16919,1,42,3181,40,13654,0,1,2020.09
Serbia,SRB,2156,1,2,25,152,1976,0,0,2020.09
Slovakia,SVK,7872,1,8,79,2927,4857,0,0,2020.09
Slovenia,SVN,6205,1,12,58,212,5921,0,1,2020.09
Turkey,TUR,47841,1,81,970,1,36321,10457,10,2020.09
