COUNTRY,ISO,TOTAL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,SEA/OCEAN,Version
Kosovo,XKS,84,1,7,38,0,38,0,0,2020.09
Aruba,ABW,65,1,8,55,0,0,0,1,2020.09
Anguilla,AIA,17,1,14,0,0,0,0,2,2020.09
Antigua and Barbuda,ATG,12,1,8,0,0,1,0,2,2020.09
Bonaire Sint Eustasius and Saba,BES,6,1,3,0,0,1,0,1,2020.09
Bahamas,BHS,66,1,19,32,1,0,0,13,2020.09
Saint Barthelemy,BLM,18,1,0,0,0,16,0,1,2020.09
Belize,BLZ,302,1,6,31,263,0,0,1,2020.09
Bermuda,BMU,13,1,11,0,0,0,0,1,2020.09
Barbados,BRB,27,1,11,0,0,14,0,1,2020.09
Canada,CAN,12152,2,13,293,5161,1508,4993,182,2020.09
Clipperton Island,CPT,2,1,0,0,0,0,0,1,2020.09
Costa Rica,CRI,965,1,7,81,466,197,206,7,2020.09
Cuba,CUB,387,1,16,168,201,0,0,1,2020.09
Curaçoa,CUW,3,1,0,0,0,1,0,1,2020.09
Cayman Islands,CYM,9,1,6,0,0,0,0,2,2020.09
Dominica,DMA,14,1,10,0,0,2,0,1,2020.09
Dominican Republic,DOM,416,1,32,155,158,69,0,1,2020.09
Guadeloupe,GLP,238,1,2,32,202,0,0,1,2020.09
Grenada,GRD,21,1,3,7,9,0,0,1,2020.09
Greenland,GRL,14,2,6,0,0,0,0,6,2020.09
Guatemala,GTM,615,1,22,340,250,0,0,2,2020.09
Honduras,HND,587,1,18,298,268,0,0,2,2020.09
Haiti,HTI,235,1,10,42,145,36,0,1,2020.09
Jamaica,JAM,128,1,3,14,63,46,0,1,2020.09
Saint Kitts and Nevis,KNA,26,1,2,14,0,8,0,1,2020.09
Saint Lucia,LCA,15,1,10,0,0,3,0,1,2020.09
Saint Martin,MAF,10,1,0,0,0,8,0,1,2020.09
Mexico,MEX,81236,1,32,2456,2001,73637,3093,16,2020.09
Montserrat,MSR,6,1,3,0,0,1,0,1,2020.09
Martinique,MTQ,266,1,4,34,226,0,0,1,2020.09
Nicaragua,NIC,237,1,17,151,66,0,0,2,2020.09
Panama,PAN,915,1,13,78,594,227,0,2,2020.09
Puerto Rico,PRI,1568,0,1,78,902,587,0,0,2020.09
El Salvador,SLV,322,1,14,262,44,0,0,1,2020.09
Saint Pierre and Miquelon,SPM,2,1,0,0,0,0,0,1,2020.09
Sint Maarten,SXM,2,1,0,0,0,0,0,1,2020.09
Turks and Caicos Islands,TCA,52,1,9,41,0,0,0,1,2020.09
Trinidad and Tobago,TTO,37,1,21,0,0,13,0,2,2020.09
United States of America,USA,142885,8,52,3142,36781,62935,36826,3141,2020.09
Saint Vincent and the Grenadines,VCT,23,1,6,13,2,0,0,1,2020.09
British Virgin Islands,VGB,7,1,5,0,0,0,0,1,2020.09
Virgin Islands,VIR,24,0,1,3,20,0,0,0,2020.09
American Samoa,ASM,104,1,5,16,78,0,0,4,2020.09
Australia,AUS,25592,6,10,544,16399,8592,0,41,2020.09
Cook Islands,COK,25,1,11,0,0,0,0,13,2020.09
Fiji,FJI,393,1,5,15,85,286,0,1,2020.09
Federated States of Micronesia,FSM,30,1,4,0,0,0,0,25,2020.09
Guam,GUM,21,0,1,1,19,0,0,0,2020.09
Kiribati,KIR,48,1,24,0,0,0,0,23,2020.09
Marshall Islands,MHL,49,1,34,0,0,0,0,14,2020.09
Northern Mariana Islands,MNP,18,1,4,0,0,0,0,13,2020.09
New Caledonia,NCL,63,1,3,34,0,0,0,25,2020.09
Norfolk Islands,NFK,2,0,1,0,0,0,0,1,2020.09
Niue,NIU,18,1,14,2,0,0,0,1,2020.09
Nauru,NRU,16,1,14,0,0,0,0,1,2020.09
New Zealand,NZL,3850,2,17,68,2586,1168,1,8,2020.09
Pitcairn Islands,PCN,9,1,4,0,0,0,0,4,2020.09
Palau,PLW,19,1,16,0,0,0,0,2,2020.09
Papua New Guinea,PNG,137,1,4,22,87,8,0,15,2020.09
French Polynesia,PYF,137,1,5,48,0,0,0,83,2020.09
Solomon Islands ,SLB,253,1,10,50,183,0,0,9,2020.09
Tokelau,TKL,7,1,3,0,0,0,0,3,2020.09
Tonga,TON,20,1,5,0,0,0,0,14,2020.09
Tuvalu,TUV,18,1,9,0,0,0,0,8,2020.09
United States Minor Outlying Islands,UMI,18,1,9,0,0,0,0,8,2020.09
Vanuatu,VUT,39,1,6,0,0,0,0,32,2020.09
Wallis and Futuna Islands,WLF,6,1,3,0,0,0,0,2,2020.09
Samoa,WSM,52,1,4,43,3,0,0,1,2020.09
Argentina,ARG,4241,1,24,525,2808,433,444,6,2020.09
Bolivia,BOL,1150,1,9,112,339,671,18,0,2020.09
Brazil,BRA,41174,1,27,5570,6128,18267,11167,14,2020.09
Chile,CHL,1295,1,16,56,345,808,57,12,2020.09
Colombia,COL,7555,1,33,1122,1131,5258,0,10,2020.09
Ecuador,ECU,2140,1,24,1039,0,1075,0,1,2020.09
Falkland Islands,FLK,2,1,0,0,0,0,0,1,2020.09
French Guiana,GUF,83,1,2,22,57,0,0,1,2020.09
Guyana,GUY,85,1,10,0,70,3,0,1,2020.09
Peru,PER,2349,1,25,196,1870,256,0,1,2020.09
Paraguay,PRY,636,1,18,255,0,293,69,0,2020.09
Suriname,SUR,168,1,10,62,94,0,0,1,2020.09
Uruguay,URY,418,1,19,129,0,209,59,1,2020.09
Venezuela,VEN,832,1,25,336,419,0,48,3,2020.09
Outer World Water,AN_,58,0,0,0,0,0,0,58,2020.09
Outer World Water,OAT,2,0,0,0,0,0,0,2,2020.09
Outer World Water,OBE,1,0,0,0,0,0,0,1,2020.09
Outer World Water,OCA,8,0,0,0,0,0,0,8,2020.09
Outer World Water,OCP,7,0,0,0,0,0,0,7,2020.09
Outer World Water,ODE,4,0,0,0,0,0,0,4,2020.09
Outer World Water,ODK,11,0,0,0,0,0,0,11,2020.09
Outer World Water,OES,3,0,0,0,0,0,0,3,2020.09
Outer World Water,OFI,2,0,0,0,0,0,0,2,2020.09
Outer World Water,OFR,3,0,0,0,0,0,0,3,2020.09
Outer World Water,OGB,2,0,0,0,0,0,0,2,2020.09
Outer World Water,OGR,1,0,0,0,0,0,0,1,2020.09
Outer World Water,OIE,1,0,0,0,0,0,0,1,2020.09
Outer World Water,OIN,12,0,0,0,0,0,0,12,2020.09
Outer World Water,OIT,1,0,0,0,0,0,0,1,2020.09
Outer World Water,OMX,11,0,0,0,0,0,0,11,2020.09
Outer World Water,ONL,1,0,0,0,0,0,0,1,2020.09
Outer World Water,ONO,2,0,0,0,0,0,0,2,2020.09
Outer World Water,OPA,8,0,0,0,0,0,0,8,2020.09
Outer World Water,OPL,1,0,0,0,0,0,0,1,2020.09
Outer World Water,OPT,1,0,0,0,0,0,0,1,2020.09
Outer World Water,ORU,15,0,0,0,0,0,0,15,2020.09
Outer World Water,OSE,5,0,0,0,0,0,0,5,2020.09
Outer World Water,OTR,3,0,0,0,0,0,0,3,2020.09
Outer World Water,OUA,4,0,0,0,0,0,0,4,2020.09
Outer World Water,OUP,1,0,0,0,0,0,0,1,2020.09
Outer World Water,OUP,1,0,0,0,0,0,0,1,2020.09
TOTAL,TOTAL,1597834,361,3277,42809,214808,807727,523672,5180,2020.09
Angola,AGO,2418,1,18,164,0,2056,177,2,2020.06
Burundi,BDI,545,1,18,119,0,392,15,0,2020.06
Benin,BEN,750,1,12,77,514,145,0,1,2020.06
Burkina Faso,BFA,1632,1,13,45,351,1169,53,0,2020.06
Botswana,BWA,525,1,9,28,0,372,115,0,2020.06
Central African Republic,CAF,1227,1,17,72,168,969,0,0,2020.06
Cote d’Ivoire,CIV,4291,1,14,31,107,497,3631,10,2020.06
Cameroon,CMR,501,1,10,58,6,425,0,1,2020.06
Democratic Republic of Congo,COD,12156,1,26,50,189,68,11821,1,2020.06
Republic of Congo,COG,214,1,0,12,1,199,0,1,2020.06
Comoros,COM,174,1,3,0,0,169,0,1,2020.06
Cape Verde,CPV,256,1,9,22,32,191,0,1,2020.06
Djibouti,DJI,30,1,6,0,0,22,0,1,2020.06
Algeria,DZA,4005,1,48,548,1541,225,1641,1,2020.06
Egypt,EGY,25354,1,27,366,203,7577,17168,12,2020.06
Eritrea,ERI,431,1,6,54,0,369,0,1,2020.06
Ethiopia,ETH,1507,1,11,85,0,1410,0,0,2020.06
Gabon,GAB,433,1,9,48,17,357,0,1,2020.06
Ghana,GHA,2139,1,16,216,1607,298,0,1,2020.06
Guinea,GIN,2522,1,8,34,340,30,2108,1,2020.06
Gambia,GMB,141,1,8,43,0,88,0,1,2020.06
Guinea Bissau,GNB,143,1,9,39,93,0,0,1,2020.06
Equatorial Guinea,GNQ,142,1,2,7,32,99,0,1,2020.06
Kenya,KEN,1578,1,47,290,881,164,194,1,2020.06
Liberia,LBR,387,1,15,136,136,98,0,1,2020.06
Libya,LBY,452,1,22,0,5,423,0,1,2020.06
Lesotho,LSO,2834,1,10,78,5,2740,0,0,2020.06
Morocco,MAR,3285,1,12,76,1528,1663,0,5,2020.06
Madagascar,MDG,2373,1,22,113,1530,706,0,1,2020.06
Mali,MLI,1140,1,11,54,1,1073,0,0,2020.06
Mozambique,MOZ,1054,1,11,161,813,67,0,1,2020.06
Mauritania,MRT,253,1,15,53,0,173,10,1,2020.06
Mauritius,MUS,698,1,5,10,158,522,0,2,2020.06
Malawi,MWI,1881,1,3,28,1737,112,0,0,2020.06
Mayotte,MYT,89,1,17,0,0,70,0,1,2020.06
Namibia,NAM,936,1,14,121,139,660,0,1,2020.06
Niger,NER,2299,1,8,0,27,2263,0,0,2020.06
Nigeria,NGA,6609,1,37,774,544,5252,0,1,2020.06
La Reunion,REU,424,1,4,24,0,394,0,1,2020.06
Rwanda,RWA,1382,1,5,30,416,699,231,0,2020.06
Sudan,SDN,1542,1,18,0,0,1522,0,1,2020.06
Senegal,SEN,3847,1,14,45,96,3645,45,1,2020.06
Saint Helena,SHN,13,1,3,8,0,0,0,1,2020.06
Sierra Leone,SLE,728,1,5,16,166,539,0,1,2020.06
Somalia,SOM,654,1,18,0,0,634,0,1,2020.06
South Sudan,SSD,461,1,10,78,0,372,0,0,2020.06
São Tomé and Príncipe,STP,35,1,2,7,0,24,0,1,2020.06
Swaziland,SWZ,466,1,4,59,25,377,0,0,2020.06
Seychelles,SYC,82,1,26,0,0,54,0,1,2020.06
Chad,TCD,1792,1,23,63,348,1357,0,0,2020.06
Togo,TGO,128,1,5,39,1,81,0,1,2020.06
Tunisia,TUN,1334,1,24,264,159,884,0,2,2020.06
Tanzania,TZA,1987,1,31,195,20,1566,170,4,2020.06
Uganda,UGA,1248,1,4,127,200,768,148,0,2020.06
South Africa,ZAF,30361,1,9,52,234,4015,26046,4,2020.06
Zambia,ZMB,996,1,10,105,17,863,0,0,2020.06
Zimbabwe,ZWE,1702,1,10,59,1235,397,0,0,2020.06
Antarctica,ATA,1,1,0,0,0,0,0,0,2020.06
French Southern Territories,ATF,1,1,0,0,0,0,0,0,2020.06
Bouvet Island,BVT,1,1,0,0,0,0,0,0,2020.06
Heard and McDonald Islands,HMD,1,1,0,0,0,0,0,0,2020.06
South Georgia and the South Sandwich Islands,SGS,12,1,0,0,0,0,0,11,2020.06
Afghanistan,AFG,609,1,34,398,0,176,0,0,2020.06
United Arab Emirates,ARE,895,1,7,0,26,857,0,4,2020.06
Armenia,ARM,131,1,11,0,119,0,0,0,2020.06
Azerbaijan,AZE,369,1,11,74,282,0,0,1,2020.06
Bangladesh,BGD,778,1,8,64,555,149,0,1,2020.06
Bahrain,BHR,170,1,4,164,0,0,0,1,2020.06
Brunei,BRN,691,1,4,39,427,219,0,1,2020.06
Bhutan,BTN,22,1,20,0,1,0,0,0,2020.06
People’s Republic of China,CHN,3535,1,31,342,2857,0,275,29,2020.06
Hong Kong,HKG,984,1,18,392,0,515,0,58,2020.06
Indonesia,IDN,54466,3,34,514,5195,919,47798,3,2020.06
India,IND,30170,1,37,685,6262,694,22467,24,2020.06
British Indian Ocean Territory,IOT,8,1,0,0,0,0,0,7,2020.06
Iran,IRN,908,1,31,429,4,433,0,10,2020.06
Iraq,IRQ,263,1,19,120,33,89,0,1,2020.06
Israel,ISR,2147,1,6,0,1155,0,983,2,2020.06
Jordan,JOR,756,1,12,82,13,335,312,1,2020.06
Japan,JPN,119708,51,49,21,1905,117659,0,23,2020.06
Kazakhstan,KAZ,3634,1,17,215,2472,928,0,1,2020.06
Kyrgyzstan,KGZ,210,1,9,54,0,146,0,0,2020.06
Cambodia,KHM,2016,1,25,194,1622,173,0,1,2020.06
Korea (South),KOR,1244,1,17,230,0,2,993,1,2020.06
Kuwait,KWT,824,1,6,1,155,660,0,1,2020.06
Laos,LAO,193,1,18,148,26,0,0,0,2020.06
Lebanon,LBN,2849,1,8,26,1566,1246,0,2,2020.06
Sri Lanka,LKA,505,1,9,25,331,89,49,1,2020.06
Macao,MAC,22,1,8,0,0,7,0,6,2020.06
Maldives,MDV,416,1,21,393,0,0,0,1,2020.06
Myanmar,MMR,683,1,15,67,330,269,0,1,2020.06
Mongolia,MNG,393,1,22,339,31,0,0,0,2020.06
Malaysia,MYS,1825,1,16,159,923,593,125,8,2020.06
Nepal,NPL,97,1,7,77,12,0,0,0,2020.06
Oman,OMN,207,1,11,61,4,128,0,2,2020.06
Pakistan,PAK,417,1,6,131,4,273,0,2,2020.06
Philippines,PHL,45399,2,17,82,1632,42384,1280,2,2020.06
Korea (North),PRK,87,1,11,0,0,73,0,2,2020.06
Palestine,PSE,33,1,2,16,14,0,0,0,2020.06
Qatar,QAT,138,1,8,92,36,0,0,1,2020.06
Russia,RUS,149645,1,8,83,2356,20181,126979,37,2020.06
Saudi Arabia,SAU,3142,1,13,147,277,2700,0,4,2020.06
Singapore,SGP,62,1,5,55,0,0,0,1,2020.06
Syria,SYR,122,1,15,62,7,36,0,1,2020.06
Thailand,THA,15901,1,77,928,7425,7468,0,2,2020.06
Tajikistan,TJK,233,1,5,75,0,152,0,0,2020.06
Turkmenistan,TKM,272,1,6,65,0,199,0,1,2020.06
East Timor (Timor Leste),TLS,84,1,13,65,0,4,0,1,2020.06
Taiwan,TWN,419,1,7,0,22,371,0,18,2020.06
Uzbekistan,UZB,688,1,14,193,13,467,0,0,2020.06
Vietnam,VNM,15939,1,66,701,11144,4019,0,8,2020.06
Yemen,YEM,672,1,22,333,0,305,0,11,2020.06
Andorra,AND,47,1,7,39,0,0,0,0,2020.06
Austria,AUT,16159,1,9,94,2118,13715,222,0,2020.06
Belgium,BEL,3344,1,3,11,43,581,2704,1,2020.06
Switzerland,CHE,11085,1,26,143,2225,8690,0,0,2020.06
Cyprus,CYP,1391,1,6,615,602,166,0,1,2020.06
Germany,DEU,97819,1,16,38,401,11115,86189,59,2020.06
Denmark,DNK,6804,1,5,99,0,6492,75,132,2020.06
Spain,ESP,45159,1,19,52,8123,35236,1696,32,2020.06
Finland,FIN,6684,1,19,70,311,5986,296,1,2020.06
France,FRA,38107,1,13,96,320,2396,35267,14,2020.06
Faroe Islands,FRO,117,1,6,29,80,0,0,1,2020.06
United Kingdom,GBR,19816,2,9,187,413,431,18547,227,2020.06
Gibraltar,GIB,3,1,0,0,1,1,0,0,2020.06
Greece,GRC,13071,1,14,75,326,12275,217,163,2020.06
Ireland,IRL,89042,3,31,0,3441,85467,97,3,2020.06
Iceland,ISL,203,1,8,74,119,0,0,1,2020.06
Italy,ITA,44794,1,20,107,7954,36164,501,47,2020.06
Liechtenstein,LIE,38,1,2,11,24,0,0,0,2020.06
Luxembourg,LUX,1386,1,12,102,522,725,24,0,2020.06
Monaco,MCO,12,1,1,9,0,0,0,1,2020.06
Malta,MLT,164,1,6,68,88,0,0,1,2020.06
Netherlands,NLD,7515,1,12,355,2498,2812,1804,33,2020.06
Norway,NOR,3931,51,51,91,422,3207,78,31,2020.06
Portugal,PRT,19646,1,29,308,3092,16153,49,14,2020.06
San Marino,SMR,23,1,9,13,0,0,0,0,2020.06
Sweden,SWE,6204,1,21,290,0,5664,176,52,2020.06
Turkey,TUR,48327,1,81,970,7,36343,10911,14,2020.06
Vatican City,VAT,2,1,0,0,0,1,0,0,2020.06
Albania,ALB,2050,1,12,61,373,1602,0,1,2020.06
Bulgaria,BGR,5436,1,28,264,109,5033,0,1,2020.06
Bosnia and Herzegovina,BIH,752,1,3,18,135,586,8,1,2020.06
Belarus,BLR,3209,1,7,131,1550,1520,0,0,2020.06
Czech Republic,CZE,21855,1,14,206,6258,15376,0,0,2020.06
Estonia,EST,8291,1,15,79,4706,3489,0,1,2020.06
Georgia,GEO,240,1,12,74,152,0,0,1,2020.06
Croatia,HRV,8329,1,21,556,0,7651,99,1,2020.06
Hungary,HUN,8040,1,20,197,3177,4645,0,0,2020.06
Lithuania,LTU,1397,1,10,60,0,1324,0,2,2020.06
Latvia,LVA,1932,1,6,119,588,1217,0,1,2020.06
Moldova,MDA,2685,1,37,982,0,1665,0,0,2020.06
Macedonia,MKD,1558,1,8,80,0,1469,0,0,2020.06
Montenegro,MNE,225,1,23,2,0,198,0,1,2020.06
Poland,POL,44118,1,16,380,2478,40610,629,4,2020.06
Romania,ROU,18206,1,42,3181,73,14907,0,2,2020.06
Serbia,SRB,2171,1,2,25,152,1991,0,0,2020.06
Slovakia,SVK,7911,1,8,79,2927,4896,0,0,2020.06
Slovenia,SVN,6206,1,12,58,212,5922,0,1,2020.06
Ukraine,UKR,31301,1,27,675,11607,18983,1,7,2020.06
Kosovo,XKS,77,1,0,0,38,38,0,0,2020.06
Aruba,ABW,65,1,8,55,0,0,0,1,2020.06
Anguilla,AIA,17,1,14,0,0,0,0,2,2020.06
Antigua and Barbuda,ATG,12,1,8,0,0,1,0,2,2020.06
Bonaire Sint Eustasius and Saba,BES,6,1,3,0,0,1,0,1,2020.06
Bahamas,BHS,66,1,19,32,1,0,0,13,2020.06
Saint Barthelemy,BLM,18,1,0,0,0,16,0,1,2020.06
Belize,BLZ,302,1,6,31,263,0,0,1,2020.06
Bermuda,BMU,13,1,11,0,0,0,0,1,2020.06
Barbados,BRB,27,1,11,0,0,14,0,1,2020.06
Canada,CAN,12152,2,13,293,5161,1508,4993,182,2020.06
Clipperton Island,CPT,2,1,0,0,0,0,0,1,2020.06
Costa Rica,CRI,965,1,7,81,466,197,206,7,2020.06
Cuba,CUB,387,1,16,168,201,0,0,1,2020.06
Curaçoa,CUW,3,1,0,0,0,1,0,1,2020.06
Cayman Islands,CYM,9,1,6,0,0,0,0,2,2020.06
Dominica,DMA,14,1,10,0,0,2,0,1,2020.06
Dominican Republic,DOM,416,1,32,155,158,69,0,1,2020.06
Guadeloupe,GLP,238,1,2,32,202,0,0,1,2020.06
Grenada,GRD,21,1,3,7,9,0,0,1,2020.06
Greenland,GRL,14,2,6,0,0,0,0,6,2020.06
Guatemala,GTM,615,1,22,340,250,0,0,2,2020.06
Honduras,HND,587,1,18,298,268,0,0,2,2020.06
Haiti,HTI,235,1,10,42,145,36,0,1,2020.06
Jamaica,JAM,128,1,3,14,63,46,0,1,2020.06
Saint Kitts and Nevis,KNA,26,1,2,14,0,8,0,1,2020.06
Saint Lucia,LCA,15,1,10,0,0,3,0,1,2020.06
Saint Martin,MAF,10,1,0,0,0,8,0,1,2020.06
Mexico,MEX,81236,1,32,2456,2001,73637,3093,16,2020.06
Montserrat,MSR,6,1,3,0,0,1,0,1,2020.06
Martinique,MTQ,266,1,4,34,226,0,0,1,2020.06
Nicaragua,NIC,238,1,17,152,66,0,0,2,2020.06
Panama,PAN,915,1,13,78,594,227,0,2,2020.06
Puerto Rico,PRI,1568,0,1,78,902,587,0,0,2020.06
El Salvador,SLV,322,1,14,262,44,0,0,1,2020.06
Saint Pierre and Miquelon,SPM,2,1,0,0,0,0,0,1,2020.06
Sint Maarten,SXM,2,1,0,0,0,0,0,1,2020.06
Turks and Caicos Islands,TCA,52,1,9,0,0,41,0,1,2020.06
Trinidad and Tobago,TTO,37,1,21,0,0,13,0,2,2020.06
United States of America,USA,142885,8,52,3142,36781,62935,36826,3141,2020.06
Saint Vincent and the Grenadines,VCT,23,1,6,13,2,0,0,1,2020.06
British Virgin Islands,VGB,7,1,5,0,0,0,0,1,2020.06
Virgin Islands,VIR,24,0,1,3,20,0,0,0,2020.06
American Samoa,ASM,101,1,5,14,77,0,0,4,2020.06
Australia,AUS,36372,6,10,544,23952,11819,0,41,2020.06
Cook Islands,COK,25,1,11,0,0,0,0,13,2020.06
Fiji,FJI,468,1,5,15,85,286,0,76,2020.06
Federated States of Micronesia,FSM,30,1,4,0,0,0,0,25,2020.06
Guam,GUM,21,0,1,1,19,0,0,0,2020.06
Kiribati,KIR,48,1,24,0,0,0,0,23,2020.06
Marshall Islands,MHL,49,1,34,0,0,0,0,14,2020.06
Northern Mariana Islands,MNP,18,1,4,0,0,0,0,13,2020.06
New Caledonia,NCL,62,1,3,33,0,0,0,25,2020.06
Norfolk Islands,NFK,2,0,1,0,0,0,0,1,2020.06
Niue,NIU,18,1,14,2,0,0,0,1,2020.06
Nauru,NRU,16,1,14,0,0,0,0,1,2020.06
New Zealand,NZL,3850,2,17,68,2586,1168,1,8,2020.06
Pitcairn Islands,PCN,9,1,4,0,0,0,0,4,2020.06
Palau,PLW,19,1,16,0,0,0,0,2,2020.06
Papua New Guinea,PNG,137,1,4,22,87,8,0,15,2020.06
French Polynesia,PYF,137,1,5,48,0,0,0,83,2020.06
Solomon Islands ,SLB,253,1,10,50,183,0,0,9,2020.06
Tokelau,TKL,7,1,3,0,0,0,0,3,2020.06
Tonga,TON,20,1,5,0,0,0,0,14,2020.06
Tuvalu,TUV,18,1,9,0,0,0,0,8,2020.06
United States Minor Outlying Islands,UMI,18,1,9,0,0,0,0,8,2020.06
Vanuatu,VUT,39,1,6,0,0,0,0,32,2020.06
Wallis and Futuna Islands,WLF,6,1,3,0,0,0,0,2,2020.06
Samoa,WSM,14,1,11,1,0,0,0,1,2020.06
Argentina,ARG,4241,1,24,525,2808,433,444,6,2020.06
Bolivia,BOL,1150,1,9,112,339,671,18,0,2020.06
Brazil,BRA,41174,1,27,5570,6128,18267,11167,14,2020.06
Chile,CHL,1295,1,16,56,345,808,57,12,2020.06
Colombia,COL,7555,1,33,1122,1131,5258,0,10,2020.06
Ecuador,ECU,2140,1,24,1039,0,1075,0,1,2020.06
Falkland Islands,FLK,2,1,0,0,0,0,0,1,2020.06
French Guiana,GUF,83,1,2,22,57,0,0,1,2020.06
Guyana,GUY,85,1,10,0,70,3,0,1,2020.06
Peru,PER,2349,1,25,196,1870,256,0,1,2020.06
Paraguay,PRY,636,1,18,255,0,293,69,0,2020.06
Suriname,SUR,168,1,10,62,94,0,0,1,2020.06
Uruguay,URY,418,1,19,129,0,209,59,1,2020.06
Venezuela,VEN,832,1,25,336,419,0,48,3,2020.06
Outer World Water,AN_,58,0,0,0,0,0,0,58,2020.06
Outer World Water,OAT,2,0,0,0,0,0,0,2,2020.06
Outer World Water,OBE,1,0,0,0,0,0,0,1,2020.06
Outer World Water,OCA,8,0,0,0,0,0,0,8,2020.06
Outer World Water,OCP,7,0,0,0,0,0,0,7,2020.06
Outer World Water,ODE,4,0,0,0,0,0,0,4,2020.06
Outer World Water,ODK,11,0,0,0,0,0,0,11,2020.06
Outer World Water,OES,3,0,0,0,0,0,0,3,2020.06
Outer World Water,OFI,2,0,0,0,0,0,0,2,2020.06
Outer World Water,OFR,3,0,0,0,0,0,0,3,2020.06
Outer World Water,OGB,2,0,0,0,0,0,0,2,2020.06
Outer World Water,OGR,1,0,0,0,0,0,0,1,2020.06
Outer World Water,OIE,1,0,0,0,0,0,0,1,2020.06
Outer World Water,OIN,12,0,0,0,0,0,0,12,2020.06
Outer World Water,OIT,1,0,0,0,0,0,0,1,2020.06
Outer World Water,OMX,11,0,0,0,0,0,0,11,2020.06
Outer World Water,ONL,1,0,0,0,0,0,0,1,2020.06
Outer World Water,ONO,2,0,0,0,0,0,0,2,2020.06
Outer World Water,OPA,8,0,0,0,0,0,0,8,2020.06
Outer World Water,OPL,1,0,0,0,0,0,0,1,2020.06
Outer World Water,OPT,1,0,0,0,0,0,0,1,2020.06
Outer World Water,ORU,15,0,0,0,0,0,0,15,2020.06
Outer World Water,OSE,5,0,0,0,0,0,0,5,2020.06
Outer World Water,OTR,3,0,0,0,0,0,0,3,2020.06
Outer World Water,OUA,4,0,0,0,0,0,0,4,2020.06
Outer World Water,OUP,1,0,0,0,0,0,0,1,2020.06
TOTAL,TOTAL,1606464,360,3263,42699,220596,852869,481405,5272,2020.03
Angola,AGO,2222,1,18,158,16,2027,0,2,2020.03
Burundi,BDI,545,1,18,119,0,392,15,0,2020.03
Benin,BEN,750,1,12,77,514,145,0,1,2020.03
Burkina Faso,BFA,356,1,0,45,1,309,0,0,2020.03
Botswana,BWA,623,1,9,26,52,535,0,0,2020.03
Central African Republic,CAF,966,1,0,17,0,948,0,0,2020.03
Cote d’Ivoire,CIV,4291,1,14,31,107,497,3631,10,2020.03
Cameroon,CMR,501,1,10,58,6,425,0,1,2020.03
Democratic Republic of Congo,COD,12156,1,26,50,189,68,11821,1,2020.03
Republic of Congo,COG,214,1,0,12,1,199,0,1,2020.03
Comoros,COM,174,1,3,0,0,169,0,1,2020.03
Cape Verde,CPV,213,1,0,10,0,201,0,1,2020.03
Djibouti,DJI,30,1,6,0,0,22,0,1,2020.03
Algeria,DZA,3990,1,48,548,1541,210,1641,1,2020.03
Egypt,EGY,24010,1,27,437,206,6159,17168,12,2020.03
Eritrea,ERI,355,1,0,6,0,347,0,1,2020.03
Ethiopia,ETH,1140,1,0,11,2,1126,0,0,2020.03
Gabon,GAB,433,1,9,48,17,357,0,1,2020.03
Ghana,GHA,2139,1,16,216,1607,298,0,1,2020.03
Guinea,GIN,2054,1,0,8,2,2042,0,1,2020.03
Gambia,GMB,141,1,8,43,0,88,0,1,2020.03
Guinea Bissau,GNB,143,1,9,39,93,0,0,1,2020.03
Equatorial Guinea,GNQ,142,1,2,7,32,99,0,1,2020.03
Kenya,KEN,1578,1,47,290,881,164,194,1,2020.03
Liberia,LBR,387,1,15,136,136,98,0,1,2020.03
Libya,LBY,448,1,22,0,4,420,0,1,2020.03
Lesotho,LSO,2672,1,0,10,19,2642,0,0,2020.03
Morocco,MAR,3285,1,12,76,1528,1663,0,5,2020.03
Madagascar,MDG,2373,1,22,113,1530,706,0,1,2020.03
Mali,MLI,1140,1,11,54,1,1073,0,0,2020.03
Mozambique,MOZ,1054,1,11,161,813,67,0,1,2020.03
Mauritania,MRT,172,1,0,13,1,156,0,1,2020.03
Mauritius,MUS,698,1,5,10,158,522,0,2,2020.03
Malawi,MWI,1881,1,3,28,1737,112,0,0,2020.03
Mayotte,MYT,89,1,17,0,0,70,0,1,2020.03
Namibia,NAM,935,1,14,121,139,659,0,1,2020.03
Niger,NER,2299,1,8,0,27,2263,0,0,2020.03
Nigeria,NGA,6566,1,37,774,544,5209,0,1,2020.03
La Reunion,REU,294,1,4,0,24,264,0,1,2020.03
Rwanda,RWA,1382,1,5,30,416,699,231,0,2020.03
Sudan,SDN,1542,1,18,0,0,1522,0,1,2020.03
Senegal,SEN,3847,1,14,45,96,3645,45,1,2020.03
Saint Helena,SHN,13,1,3,8,0,0,0,1,2020.03
Sierra Leone,SLE,728,1,5,16,166,539,0,1,2020.03
Somalia,SOM,654,1,0,18,0,634,0,1,2020.03
South Sudan,SSD,383,1,0,10,0,372,0,0,2020.03
São Tomé and Príncipe,STP,32,1,0,2,0,28,0,1,2020.03
Swaziland,SWZ,461,1,4,59,25,372,0,0,2020.03
Seychelles,SYC,82,1,26,0,0,54,0,1,2020.03
Chad,TCD,1792,1,23,63,348,1357,0,0,2020.03
