COUNTRY,ISO,TOTAL,LEVEL1(geotag),LEVEL2(geotag),LEVEL3(geotag),LEVEL4(geotag),LEVEL5(geotag),LEVEL6(geotag),SEA/OCEAN(geotag),Version
Angola,AGO,2403,1,6,163,0,2054,177,2,2020.12
Burundi,BDI,532,1,7,119,0,390,15,0,2020.12
Benin,BEN,736,1,0,76,0,513,145,1,2020.12
Burkina Faso,BFA,1585,1,6,9,351,1165,53,0,2020.12
Botswana,BWA,515,1,0,28,0,371,115,0,2020.12
Central African Republic,CAF,1156,1,6,12,168,969,0,0,2020.12
Cote d’Ivoire,CIV,4180,1,0,1,40,497,3631,10,2020.12
Cameroon,CMR,490,1,1,58,4,425,0,1,2020.12
Democratic Republic of Congo,COD,12086,1,17,6,173,67,11821,1,2020.12
Republic of Congo,COG,214,1,0,12,1,199,0,1,2020.12
Comoros,COM,173,0,3,0,0,169,0,1,2020.12
Cape Verde,CPV,234,1,9,0,32,191,0,1,2020.12
Djibouti,DJI,30,1,6,0,0,22,0,1,2020.12
Algeria,DZA,3395,1,24,19,1522,187,1641,1,2020.12
Egypt,EGY,24336,1,4,159,22,6970,17168,12,2020.12
Eritrea,ERI,425,1,0,54,0,369,0,1,2020.12
Ethiopia,ETH,1499,1,3,85,0,1410,0,0,2020.12
Gabon,GAB,428,1,4,48,17,357,0,1,2020.12
Ghana,GHA,2358,1,0,243,0,1815,298,1,2020.12
Guinea,GIN,2484,1,0,9,338,27,2108,1,2020.12
Gambia,GMB,138,0,8,41,0,88,0,1,2020.12
Guinea Bissau,GNB,136,1,1,39,0,94,0,1,2020.12
Equatorial Guinea,GNQ,136,1,0,3,32,99,0,1,2020.12
Kenya,KEN,1480,1,6,278,862,138,194,1,2020.12
Liberia,LBR,328,1,2,90,136,98,0,1,2020.12
Libya,LBY,452,1,22,0,5,423,0,1,2020.12
Lesotho,LSO,2829,1,9,76,3,2740,0,0,2020.12
Morocco,MAR,3186,1,2,8,1507,1663,0,5,2020.12
Madagascar,MDG,2234,1,0,0,1526,706,0,1,2020.12
Mali,MLI,1133,1,4,54,1,1073,0,0,2020.12
Mozambique,MOZ,1047,1,7,161,810,67,0,1,2020.12
Mauritania,MRT,241,1,4,53,0,172,10,1,2020.12
Mauritius,MUS,692,0,5,6,157,522,0,2,2020.12
Malawi,MWI,1868,0,1,28,1727,112,0,0,2020.12
Mayotte,MYT,88,0,17,0,0,70,0,1,2020.12
Namibia,NAM,885,1,7,118,99,659,0,1,2020.12
Niger,NER,2298,1,8,0,26,2263,0,0,2020.12
Nigeria,NGA,6110,1,0,758,0,4821,529,1,2020.12
La Reunion,REU,419,0,0,24,0,394,0,1,2020.12
Rwanda,RWA,1279,1,0,0,381,666,231,0,2020.12
Sudan,SDN,1542,1,18,0,0,1522,0,1,2020.12
Senegal,SEN,3789,1,1,1,95,3645,45,1,2020.12
Saint Helena,SHN,12,0,3,8,0,0,0,1,2020.12
Sierra Leone,SLE,715,1,1,7,166,539,0,1,2020.12
Somalia,SOM,654,1,18,0,0,634,0,1,2020.12
South Sudan,SSD,456,1,5,78,0,372,0,0,2020.12
São Tomé and Príncipe,STP,33,1,0,7,0,24,0,1,2020.12
Swaziland,SWZ,441,1,2,59,7,372,0,0,2020.12
Seychelles,SYC,81,0,26,0,0,54,0,1,2020.12
Chad,TCD,1709,1,0,3,348,1357,0,0,2020.12
Togo,TGO,123,0,5,39,1,77,0,1,2020.12
Tunisia,TUN,1270,1,13,253,121,880,0,2,2020.12
Tanzania,TZA,1968,1,15,195,17,1566,170,4,2020.12
Uganda,UGA,1208,1,3,2,201,817,184,0,2020.12
South Africa,ZAF,23998,1,0,0,213,7933,15847,4,2020.12
Zambia,ZMB,984,1,7,105,10,861,0,0,2020.12
Zimbabwe,ZWE,1674,1,0,59,1217,397,0,0,2020.12
Antarctica,ATA,1,1,0,0,0,0,0,0,2020.12
French Southern Territories,ATF,1,1,0,0,0,0,0,0,2020.12
Bouvet Island,BVT,1,1,0,0,0,0,0,0,2020.12
Heard and McDonald Islands,HMD,1,1,0,0,0,0,0,0,2020.12
South Georgia and the South Sandwich Islands,SGS,1,1,0,0,0,0,0,0,2020.12
Afghanistan,AFG,590,1,15,398,0,176,0,0,2020.12
United Arab Emirates,ARE,1187,1,6,20,395,764,0,1,2020.12
Armenia,ARM,131,1,11,0,119,0,0,0,2020.12
Azerbaijan,AZE,354,1,1,69,282,0,0,1,2020.12
Bangladesh,BGD,716,1,7,32,526,149,0,1,2020.12
Bahrain,BHR,367,1,4,22,339,0,0,1,2020.12
Brunei,BRN,596,1,2,15,358,219,0,1,2020.12
Bhutan,BTN,22,1,20,0,1,0,0,0,2020.12
People’s Republic of China,CHN,3383,1,15,54,2848,0,436,29,2020.12
Hong Kong,HKG,726,1,18,134,0,515,0,58,2020.12
Indonesia,IDN,51018,3,0,337,2626,245,47798,9,2020.12
India,IND,29249,1,11,49,6349,349,22466,24,2020.12
British Indian Ocean Territory,IOT,8,1,0,0,0,0,0,7,2020.12
Iran,IRN,888,1,12,429,5,431,0,10,2020.12
Iraq,IRQ,246,1,4,120,31,89,0,1,2020.12
Israel,ISR,2127,1,6,0,1135,0,983,2,2020.12
Jordan,JOR,450,1,2,0,86,25,335,1,2020.12
Japan,JPN,117779,7,12,0,6,117731,0,23,2020.12
Kazakhstan,KAZ,3540,2,3,137,2469,928,0,1,2020.12
Kyrgyzstan,KGZ,203,1,2,54,0,146,0,0,2020.12
Cambodia,KHM,1754,0,4,17,1559,173,0,1,2020.12
Korea (South),KOR,1221,1,9,215,0,2,993,1,2020.12
Kuwait,KWT,842,1,0,0,45,795,0,1,2020.12
Laos,LAO,177,1,2,148,26,0,0,0,2020.12
Lebanon,LBN,2659,1,1,4,1405,1246,0,2,2020.12
Sri Lanka,LKA,471,1,0,0,331,89,49,1,2020.12
Macao,MAC,19,1,5,0,0,7,0,6,2020.12
Maldives,MDV,415,1,20,393,0,0,0,1,2020.12
Myanmar,MMR,564,1,5,3,325,229,0,1,2020.12
Mongolia,MNG,377,1,6,339,31,0,0,0,2020.12
Malaysia,MYS,1754,1,7,117,903,593,125,8,2020.12
Nepal,NPL,97,1,6,77,13,0,0,0,2020.12
Oman,OMN,200,1,4,61,4,128,0,2,2020.12
Pakistan,PAK,418,1,5,133,4,273,0,2,2020.12
Philippines,PHL,44404,3,0,0,1131,105,43161,4,2020.12
Korea (North),PRK,86,0,11,0,0,73,0,2,2020.12
Palestine,PSE,33,1,2,16,14,0,0,0,2020.12
Qatar,QAT,128,1,0,90,36,0,0,1,2020.12
Russia,RUS,147242,1,3,27,99,20098,126977,37,2020.12
Saudi Arabia,SAU,3104,1,8,147,244,2700,0,4,2020.12
Singapore,SGP,56,0,0,55,0,0,0,1,2020.12
Syria,SYR,113,1,7,61,7,36,0,1,2020.12
Thailand,THA,14646,1,0,7,7168,7468,0,2,2020.12
Tajikistan,TJK,233,1,3,75,0,154,0,0,2020.12
Turkmenistan,TKM,280,1,0,61,0,217,0,1,2020.12
East Timor (Timor Leste),TLS,71,1,0,65,0,4,0,1,2020.12
Taiwan,TWN,1054,0,0,0,363,690,0,1,2020.12
Uzbekistan,UZB,673,1,0,192,13,467,0,0,2020.12
Vietnam,VNM,14715,1,1,9,10677,4019,0,8,2020.12
Yemen,YEM,651,1,5,329,0,305,0,11,2020.12
Andorra,AND,47,1,7,39,0,0,0,0,2020.12
Austria,AUT,16013,1,0,2,2101,13687,222,0,2020.12
Belgium,BEL,2722,1,2,2,11,1,2704,1,2020.12
Switzerland,CHE,10952,1,8,30,2225,8688,0,0,2020.12
Germany,DEU,97409,1,1,12,49,11115,86172,59,2020.12
Denmark,DNK,6797,1,0,98,0,6491,75,132,2020.12
Spain,ESP,44797,2,5,29,8122,34911,1696,32,2020.12
Finland,FIN,6606,1,4,9,309,5986,296,1,2020.12
France,FRA,35640,1,2,4,76,276,35267,14,2020.12
Faroe Islands,FRO,112,1,0,29,80,0,0,2,2020.12
United Kingdom,GBR,19326,3,8,27,316,198,18547,227,2020.12
Gibraltar,GIB,2,0,0,0,2,0,0,0,2020.12
Ireland,IRL,88437,3,21,0,3058,85255,97,3,2020.12
Iceland,ISL,194,0,0,74,119,0,0,1,2020.12
Italy,ITA,44621,2,10,49,7950,36062,501,47,2020.12
Liechtenstein,LIE,35,0,0,11,24,0,0,0,2020.12
Luxembourg,LUX,1289,1,0,21,522,721,24,0,2020.12
Monaco,MCO,11,0,0,10,0,0,0,1,2020.12
Malta,MLT,160,1,4,67,87,0,0,1,2020.12
Netherlands,NLD,7057,1,3,7,2487,2722,1804,33,2020.12
Norway,NOR,3564,49,0,49,356,3001,78,31,2020.12
Portugal,PRT,19360,1,11,46,3085,16151,52,14,2020.12
San Marino,SMR,22,0,9,13,0,0,0,0,2020.12
Sweden,SWE,6182,0,0,290,0,5664,176,52,2020.12
Vatican City,VAT,1,1,0,0,0,0,0,0,2020.12
Albania,ALB,1987,1,2,8,373,1602,0,1,2020.12
Bulgaria,BGR,5401,1,0,265,101,5033,0,1,2020.12
Bosnia and Herzegovina,BIH,733,1,1,4,133,586,8,0,2020.12
Belarus,BLR,3082,1,3,13,1545,1520,0,0,2020.12
Cyprus,CYP,1383,1,0,614,601,166,0,1,2020.12
Czech Republic,CZE,21674,1,8,25,6258,15376,6,0,2020.12
Estonia,EST,8191,1,0,0,4700,3489,0,1,2020.12
Georgia,GEO,236,1,8,74,152,0,0,1,2020.12
Greece,GRC,12977,3,8,22,315,12251,217,161,2020.12
Croatia,HRV,8349,1,8,555,13,7771,0,1,2020.12
Hungary,HUN,7862,1,7,34,3168,4652,0,0,2020.12
Lithuania,LTU,1385,0,0,59,0,1324,0,2,2020.12
Latvia,LVA,1855,1,3,45,588,1217,0,1,2020.12
Moldova,MDA,2646,0,0,981,0,1665,0,0,2020.12
Macedonia,MKD,1552,1,2,79,0,1470,0,0,2020.12
Montenegro,MNE,224,1,24,0,0,198,0,1,2020.12
Poland,POL,43748,1,8,26,2477,40604,628,4,2020.12
Romania,ROU,18169,1,6,3180,73,14907,0,2,2020.12
Serbia,SRB,4523,1,0,0,168,4354,0,0,2020.12
Slovakia,SVK,7837,1,3,24,2925,4884,0,0,2020.12
Slovenia,SVN,6147,1,4,9,212,5920,0,1,2020.12
Turkey,TUR,50275,1,13,967,0,37641,11639,14,2020.12
Ukraine,UKR,30656,1,9,71,11584,18983,1,7,2020.12
Kosovo,XKS,71,0,0,38,0,33,0,0,2020.12
Aruba,ABW,56,0,0,55,0,0,0,1,2020.12
Anguilla,AIA,17,1,14,0,0,0,0,2,2020.12
Antigua and Barbuda,ATG,10,0,7,0,0,1,0,2,2020.12
Bonaire Sint Eustasius and Saba,BES,5,0,3,0,0,1,0,1,2020.12
Bahamas,BHS,51,1,4,32,1,0,0,13,2020.12
Saint Barthelemy,BLM,18,1,0,0,0,16,0,1,2020.12
Belize,BLZ,300,1,5,30,263,0,0,1,2020.12
Bermuda,BMU,13,1,11,0,0,0,0,1,2020.12
Barbados,BRB,26,0,11,0,0,14,0,1,2020.12
Canada,CAN,11675,2,5,57,5113,1323,4993,182,2020.12
Clipperton Island,CPT,2,1,0,0,0,0,0,1,2020.12
Costa Rica,CRI,862,1,0,7,445,196,206,7,2020.12
Cuba,CUB,370,1,0,167,201,0,0,1,2020.12
Curaçoa,CUW,3,1,0,0,0,1,0,1,2020.12
Cayman Islands,CYM,9,1,6,0,0,0,0,2,2020.12
Dominica,DMA,14,1,10,0,0,2,0,1,2020.12
Dominican Republic,DOM,385,1,1,155,158,69,0,1,2020.12
Guadeloupe,GLP,236,1,0,32,202,0,0,1,2020.12
Grenada,GRD,20,0,3,7,9,0,0,1,2020.12
Greenland,GRL,12,0,6,0,0,0,0,6,2020.12
Guatemala,GTM,603,1,10,340,250,0,0,2,2020.12
Honduras,HND,581,1,12,298,268,0,0,2,2020.12
Haiti,HTI,182,1,0,0,144,36,0,1,2020.12
Jamaica,JAM,106,1,0,0,58,46,0,1,2020.12
Saint Kitts and Nevis,KNA,23,0,0,14,0,8,0,1,2020.12
Saint Lucia,LCA,15,1,10,0,0,3,0,1,2020.12
Saint Martin,MAF,10,1,0,0,0,8,0,1,2020.12
Mexico,MEX,80539,1,4,2440,1846,73139,3093,16,2020.12
Montserrat,MSR,6,1,3,0,0,1,0,1,2020.12
Martinique,MTQ,262,1,0,34,226,0,0,1,2020.12
Nicaragua,NIC,231,1,10,152,66,0,0,2,2020.12
Panama,PAN,808,1,0,0,578,227,0,2,2020.12
Puerto Rico,PRI,1405,0,0,0,818,587,0,0,2020.12
El Salvador,SLV,307,1,0,262,43,0,0,1,2020.12
Saint Pierre and Miquelon,SPM,2,1,0,0,0,0,0,1,2020.12
Sint Maarten,SXM,2,1,0,0,0,0,0,1,2020.12
Turks and Caicos Islands,TCA,1,0,0,0,0,0,0,1,2020.12
Trinidad and Tobago,TTO,37,1,21,0,0,13,0,2,2020.12
United States of America,USA,134048,1,0,213,36155,57713,36825,3141,2020.12
Saint Vincent and the Grenadines,VCT,17,1,0,13,2,0,0,1,2020.12
British Virgin Islands,VGB,6,0,5,0,0,0,0,1,2020.12
Virgin Islands,VIR,22,0,0,2,20,0,0,0,2020.12
American Samoa,ASM,82,0,0,0,78,0,0,4,2020.12
Australia,AUS,23867,6,9,368,14851,8592,0,41,2020.12
Cook Islands,COK,24,0,11,0,0,0,0,13,2020.12
Fiji,FJI,374,1,0,1,85,286,0,1,2020.12
Federated States of Micronesia,FSM,30,1,4,0,0,0,0,25,2020.12
Guam,GUM,19,0,0,0,19,0,0,0,2020.12
Kiribati,KIR,48,1,24,0,0,0,0,23,2020.12
Marshall Islands,MHL,49,1,34,0,0,0,0,14,2020.12
Northern Mariana Islands,MNP,18,1,4,0,0,0,0,13,2020.12
New Caledonia,NCL,60,1,0,34,0,0,0,25,2020.12
Norfolk Islands,NFK,2,0,1,0,0,0,0,1,2020.12
Niue,NIU,18,1,14,2,0,0,0,1,2020.12
Nauru,NRU,16,1,14,0,0,0,0,1,2020.12
New Zealand,NZL,3778,2,4,38,2557,1168,1,8,2020.12
Pitcairn Islands,PCN,9,1,4,0,0,0,0,4,2020.12
Palau,PLW,19,1,16,0,0,0,0,2,2020.12
Papua New Guinea,PNG,122,1,3,8,87,8,0,15,2020.12
French Polynesia,PYF,132,1,0,48,0,0,0,83,2020.12
Solomon Islands ,SLB,193,1,0,0,183,0,0,9,2020.12
Tokelau,TKL,7,1,3,0,0,0,0,3,2020.12
Tonga,TON,20,1,5,0,0,0,0,14,2020.12
Tuvalu,TUV,18,1,9,0,0,0,0,8,2020.12
United States Minor Outlying Islands,UMI,18,1,9,0,0,0,0,8,2020.12
Vanuatu,VUT,39,1,6,0,0,0,0,32,2020.12
Wallis and Futuna Islands,WLF,6,1,3,0,0,0,0,2,2020.12
Samoa,WSM,47,0,0,43,3,0,0,1,2020.12
Argentina,ARG,4191,1,0,513,2795,432,444,6,2020.12
Bolivia,BOL,1038,1,5,5,339,670,18,0,2020.12
Brazil,BRA,39359,1,0,5567,8690,13920,11167,14,2020.12
Chile,CHL,1194,1,2,9,326,787,57,12,2020.12
Colombia,COL,7521,1,0,1122,1131,5258,0,10,2020.12
Ecuador,ECU,2128,1,2,11,1038,1075,0,1,2020.12
Falkland Islands,FLK,2,1,0,0,0,0,0,1,2020.12
French Guiana,GUF,83,1,2,22,57,0,0,1,2020.12
Guyana,GUY,85,1,10,0,70,3,0,1,2020.12
Peru,PER,2377,1,1,3,1870,501,0,1,2020.12
